symbol,day,time,direction,bot_grade,bot_status,taken,min_since_open,stop_pct,dist_nearest_level_pct,levels_in_2r_path,clear_road,capture_rank_dir,body_ratio,displacement,open_pos_in_pd_range,with_day_trend,is_first_5min,risk_reward_room
AAPL,2024-08-07,09:37,call,B,fired,0,7.0,0.579,0.47,0,1,1,0.923,1.78,0.65,1,0,5.0
AAPL,2024-08-07,09:37,call,C,fired,0,7.0,0.47,0.47,0,1,2,0.923,1.78,0.65,1,0,5.0
AAPL,2024-08-07,09:37,call,C,fired,0,7.0,0.755,0.47,0,1,3,0.923,1.78,0.65,1,0,5.0
AAPL,2024-08-07,13:13,put,D,skipped_d,0,223.0,0.128,0.516,0,0,1,0.421,1.52,0.65,0,0,4.04
AAPL,2024-08-07,13:17,put,D,skipped_d,0,227.0,0.218,0.427,1,0,2,0.852,1.45,0.65,0,0,2.46
AAPL,2024-08-07,14:40,call,D,skipped_d,0,310.0,0.057,0.052,1,0,4,0.692,2.62,0.65,1,0,5.0
AAPL,2024-08-07,14:41,call,D,skipped_d,0,311.0,0.052,0.052,1,0,5,0.087,1.69,0.65,1,0,5.0
AAPL,2024-08-07,14:42,call,D,skipped_d,0,312.0,0.064,0.045,1,0,6,0.151,1.38,0.65,1,0,5.0
AAPL,2024-08-07,14:46,call,D,skipped_d,0,316.0,0.007,0.007,0,0,7,0.423,1.07,0.65,1,0,5.0
AAPL,2024-08-07,14:49,call,D,skipped_d,0,319.0,0.038,0.038,0,0,8,0.96,2.21,0.65,1,0,3.62
AAPL,2024-08-07,14:50,call,D,skipped_d,0,320.0,0.038,0.038,0,0,9,0.0,1.23,0.65,1,0,3.62
AAPL,2024-08-07,15:03,call,C,fired,0,333.0,0.319,0.033,0,1,10,0.828,4.78,0.65,1,0,5.0
AAPL,2024-08-07,15:04,call,C,fired,0,334.0,0.29,0.181,0,1,11,0.824,4.93,0.65,1,0,5.0
AAPL,2024-08-07,15:04,call,C,skipped_tight_stop,0,334.0,0.181,0.181,0,1,12,0.824,4.93,0.65,1,0,5.0
AAPL,2024-08-07,15:04,call,C,fired,0,334.0,0.466,0.181,0,1,13,0.824,4.93,0.65,1,0,5.0
AAPL,2024-08-07,15:13,call,D,skipped_d,0,343.0,0.029,0.029,0,1,14,0.7,1.67,0.65,1,0,5.0
AAPL,2024-08-07,15:15,call,D,skipped_d,0,345.0,0.081,0.081,0,1,15,0.7,1.69,0.65,1,0,5.0
AAPL,2024-08-07,15:54,call,D,skipped_d,0,384.0,0.005,0.005,0,1,16,0.58,2.81,0.65,1,0,5.0
AAPL,2024-08-07,15:56,call,D,skipped_d,0,386.0,0.01,0.01,0,0,17,0.133,3.42,0.65,1,0,5.0
AAPL,2024-08-07,15:59,call,D,skipped_d,0,389.0,0.048,0.048,1,0,18,0.568,1.61,0.65,1,0,5.0
AAPL,2024-08-23,09:39,call,B,fired,0,9.0,0.17,0.038,0,0,1,0.692,1.91,0.4,1,0,4.64
AAPL,2024-08-23,09:40,call,D,skipped_d,0,10.0,0.053,0.053,0,0,2,0.199,1.93,0.4,1,0,5.0
AAPL,2024-08-23,09:41,call,D,skipped_d,0,11.0,0.049,0.049,0,0,3,0.0,1.1,0.4,1,0,5.0
AAPL,2024-08-23,09:42,call,D,skipped_d,0,12.0,0.115,0.115,0,0,4,0.63,1.12,0.4,1,0,5.0
AAPL,2024-08-23,09:44,call,C,fired,0,14.0,0.181,0.181,0,0,5,0.838,1.19,0.4,1,0,3.56
AAPL,2024-08-23,10:19,put,C,fired,0,49.0,0.246,0.382,1,0,1,0.37,1.7,0.4,0,0,2.32
AAPL,2024-08-23,10:59,call,D,skipped_d,0,89.0,0.031,0.031,0,0,6,0.437,1.13,0.4,1,0,3.29
AAPL,2024-08-23,11:15,call,D,skipped_d,0,105.0,0.102,0.031,1,0,7,0.643,3.24,0.4,1,0,5.0
AAPL,2024-08-23,11:18,call,C,fired,0,108.0,0.212,0.079,0,0,8,0.702,1.47,0.4,1,0,3.52
AAPL,2024-08-23,11:18,call,D,skipped_d,0,108.0,0.079,0.079,0,0,9,0.702,1.47,0.4,1,0,5.0
AAPL,2024-08-23,11:20,call,D,skipped_d,0,110.0,0.009,0.009,0,0,10,0.524,1.34,0.4,1,0,5.0
AAPL,2024-08-23,11:21,call,D,skipped_d,0,111.0,0.022,0.022,0,0,11,0.182,1.75,0.4,1,0,5.0
AAPL,2024-08-23,11:22,call,D,skipped_d,0,112.0,0.004,0.004,0,0,12,0.333,1.36,0.4,1,0,5.0
AAPL,2024-08-23,11:40,call,C,fired,0,130.0,0.199,0.066,0,0,13,0.92,3.4,0.4,1,0,3.82
AAPL,2024-08-23,11:41,call,D,skipped_d,0,131.0,0.071,0.062,1,0,14,0.816,3.13,0.4,1,0,5.0
AAPL,2024-08-23,11:42,call,D,skipped_d,0,132.0,0.115,0.018,1,0,15,0.645,2.35,0.4,1,0,5.0
AAPL,2024-08-23,11:43,call,D,skipped_d,0,133.0,0.035,0.035,0,0,16,0.486,3.11,0.4,1,0,2.75
AAPL,2024-08-23,12:02,put,D,skipped_d,0,152.0,0.11,0.11,0,0,2,0.512,2.71,0.4,1,0,2.95
AAPL,2024-08-23,12:08,put,D,skipped_d,0,158.0,0.022,0.022,0,0,3,0.176,2.44,0.4,1,0,5.0
AAPL,2024-08-23,12:10,put,D,skipped_d,0,160.0,0.004,0.004,0,0,4,0.2,0.9,0.4,1,0,5.0
AAPL,2024-08-23,12:13,put,D,skipped_d,0,163.0,0.031,0.031,0,0,5,0.613,1.18,0.4,1,0,5.0
AAPL,2024-08-23,12:14,put,D,skipped_d,0,164.0,0.12,0.12,0,0,6,0.615,2.38,0.4,1,0,2.63
AAPL,2024-08-23,12:22,put,D,skipped_d,0,172.0,0.026,0.026,0,0,7,0.277,1.63,0.4,1,0,5.0
AAPL,2024-08-23,12:24,put,D,skipped_d,0,174.0,0.138,0.138,0,0,8,0.896,2.11,0.4,1,0,2.16
AAPL,2024-08-23,12:25,put,C,skipped_tight_stop,0,175.0,0.173,0.173,1,0,9,0.6,2.09,0.4,1,0,3.13
AAPL,2024-08-23,12:46,put,D,skipped_d,0,196.0,0.009,0.009,0,0,10,0.034,2.1,0.4,1,0,5.0
AAPL,2024-08-23,13:10,put,D,skipped_d,0,220.0,0.009,0.009,0,0,11,0.0,1.05,0.4,1,0,5.0
