Datetime,Open,High,Low,Close,Adj Close,Volume
2025-12-29T04:00:00-05:00,7.84,7.88,7.84,7.88,7.88,3139
2025-12-29T04:02:00-05:00,7.86,7.86,7.86,7.86,7.86,1072
2025-12-29T04:03:00-05:00,7.86,7.87,7.86,7.87,7.87,1054
2025-12-29T04:04:00-05:00,7.85,7.85,7.85,7.85,7.85,725
2025-12-29T04:06:00-05:00,7.85,7.85,7.85,7.85,7.85,421
2025-12-29T04:07:00-05:00,7.85,7.85,7.85,7.85,7.85,496
2025-12-29T04:10:00-05:00,7.85,7.85,7.85,7.85,7.85,1983
2025-12-29T04:11:00-05:00,7.85,7.85,7.85,7.85,7.85,701
2025-12-29T04:14:00-05:00,7.86,7.86,7.86,7.86,7.86,316
2025-12-29T04:15:00-05:00,7.86,7.87,7.86,7.87,7.87,1498
2025-12-29T04:17:00-05:00,7.85,7.87,7.85,7.87,7.87,3245
2025-12-29T04:18:00-05:00,7.86,7.86,7.85,7.86,7.86,552
2025-12-29T04:19:00-05:00,7.85,7.85,7.85,7.85,7.85,203
2025-12-29T04:20:00-05:00,7.86,7.86,7.86,7.86,7.86,251
2025-12-29T04:21:00-05:00,7.85,7.86,7.85,7.86,7.86,1084
2025-12-29T04:23:00-05:00,7.85,7.85,7.85,7.85,7.85,2544
2025-12-29T04:29:00-05:00,7.85,7.85,7.85,7.85,7.85,100
2025-12-29T04:31:00-05:00,7.86,7.86,7.86,7.86,7.86,678
2025-12-29T04:36:00-05:00,7.86,7.86,7.86,7.86,7.86,558
2025-12-29T04:40:00-05:00,7.85,7.86,7.85,7.86,7.86,1124
2025-12-29T04:42:00-05:00,7.85,7.85,7.85,7.85,7.85,209
2025-12-29T04:43:00-05:00,7.85,7.85,7.85,7.85,7.85,1295
2025-12-29T04:44:00-05:00,7.85,7.85,7.85,7.85,7.85,240
2025-12-29T04:46:00-05:00,7.84,7.84,7.84,7.84,7.84,176
2025-12-29T04:47:00-05:00,7.84,7.84,7.84,7.84,7.84,101
2025-12-29T04:49:00-05:00,7.83,7.83,7.83,7.83,7.83,1285
2025-12-29T04:50:00-05:00,7.83,7.83,7.83,7.83,7.83,397
2025-12-29T04:54:00-05:00,7.85,7.85,7.85,7.85,7.85,1422
2025-12-29T04:56:00-05:00,7.84,7.85,7.84,7.85,7.85,3070
2025-12-29T04:57:00-05:00,7.84,7.84,7.84,7.84,7.84,317
2025-12-29T05:03:00-05:00,7.85,7.85,7.85,7.85,7.85,1022
2025-12-29T05:04:00-05:00,7.85,7.85,7.85,7.85,7.85,679
2025-12-29T05:07:00-05:00,7.845,7.845,7.845,7.845,7.845,221
2025-12-29T05:08:00-05:00,7.845,7.85,7.845,7.85,7.85,1014
2025-12-29T05:09:00-05:00,7.84,7.85,7.84,7.85,7.85,487
2025-12-29T05:11:00-05:00,7.85,7.85,7.85,7.85,7.85,386
2025-12-29T05:15:00-05:00,7.84,7.84,7.84,7.84,7.84,1788
2025-12-29T05:29:00-05:00,7.83,7.83,7.83,7.83,7.83,607
2025-12-29T05:36:00-05:00,7.83,7.83,7.83,7.83,7.83,824
2025-12-29T05:37:00-05:00,7.83,7.83,7.83,7.83,7.83,1242
2025-12-29T05:38:00-05:00,7.83,7.83,7.79,7.805,7.805,11388
2025-12-29T05:41:00-05:00,7.815,7.815,7.815,7.815,7.815,500
2025-12-29T05:43:00-05:00,7.81,7.81,7.81,7.81,7.81,667
2025-12-29T06:00:00-05:00,7.8,7.8,7.8,7.8,7.8,497
2025-12-29T06:01:00-05:00,7.8,7.8,7.8,7.8,7.8,100
2025-12-29T06:03:00-05:00,7.8,7.8,7.8,7.8,7.8,255
2025-12-29T06:06:00-05:00,7.81,7.81,7.81,7.81,7.81,241
2025-12-29T06:07:00-05:00,7.81,7.81,7.81,7.81,7.81,1003
2025-12-29T06:15:00-05:00,7.815,7.82,7.815,7.815,7.815,2409
2025-12-29T06:17:00-05:00,7.81,7.81,7.81,7.81,7.81,286
2025-12-29T06:20:00-05:00,7.8,7.8,7.8,7.8,7.8,522
2025-12-29T06:23:00-05:00,7.8,7.8,7.8,7.8,7.8,276
2025-12-29T06:24:00-05:00,7.8,7.8,7.8,7.8,7.8,168
2025-12-29T06:26:00-05:00,7.79,7.79,7.79,7.79,7.79,110
2025-12-29T06:27:00-05:00,7.8,7.8,7.8,7.8,7.8,484
2025-12-29T06:35:00-05:00,7.795,7.795,7.795,7.795,7.795,270
2025-12-29T06:40:00-05:00,7.78,7.78,7.78,7.78,7.78,364
2025-12-29T06:41:00-05:00,7.79,7.79,7.79,7.79,7.79,132
2025-12-29T06:42:00-05:00,7.785,7.785,7.78,7.78,7.78,2782
2025-12-29T06:43:00-05:00,7.78,7.78,7.78,7.78,7.78,831
2025-12-29T06:44:00-05:00,7.78,7.78,7.78,7.78,7.78,1237
2025-12-29T06:46:00-05:00,7.775,7.775,7.775,7.775,7.775,354
2025-12-29T06:50:00-05:00,7.77,7.77,7.77,7.77,7.77,1301
2025-12-29T06:55:00-05:00,7.77,7.77,7.77,7.77,7.77,3854
2025-12-29T07:00:00-05:00,7.78,7.805,7.78,7.805,7.805,12848
2025-12-29T07:02:00-05:00,7.805,7.805,7.805,7.805,7.805,100
2025-12-29T07:09:00-05:00,7.8,7.8,7.79,7.79,7.79,12200
2025-12-29T07:10:00-05:00,7.78,7.78,7.78,7.78,7.78,1434
2025-12-29T07:11:00-05:00,7.78,7.78,7.78,7.78,7.78,820
2025-12-29T07:22:00-05:00,7.775,7.775,7.775,7.775,7.775,200
2025-12-29T07:25:00-05:00,7.775,7.775,7.75,7.75,7.75,7607
2025-12-29T07:26:00-05:00,7.75,7.76,7.75,7.76,7.76,2669
2025-12-29T07:27:00-05:00,7.76,7.77,7.76,7.77,7.77,420
