Datetime,Open,High,Low,Close,Adj Close,Volume
2025-01-28T04:00:00-05:00,117.1,117.1,116.7,116.75,116.75,3494
2025-01-28T04:01:00-05:00,116.85,116.97,116.85,116.97,116.97,6753
2025-01-28T04:02:00-05:00,116.89,117.28,116.89,117.24,117.24,5958
2025-01-28T04:03:00-05:00,117.26,117.4,117.26,117.29,117.29,4892
2025-01-28T04:04:00-05:00,117.29,117.29,117.17,117.17,117.17,3014
2025-01-28T04:05:00-05:00,117.18,117.25,117.18,117.25,117.25,1443
2025-01-28T04:06:00-05:00,117.21,117.31,117.1,117.22,117.22,6230
2025-01-28T04:07:00-05:00,117.24,117.45,117.2,117.22,117.22,7858
2025-01-28T04:08:00-05:00,117.21,117.22,117.2,117.2,117.2,5560
2025-01-28T04:09:00-05:00,117.21,117.21,117,117.19,117.19,4971
2025-01-28T04:11:00-05:00,117.02,117.04,116.93,116.93,116.93,3603
2025-01-28T04:12:00-05:00,116.99,117.01,116.99,117,117,2709
2025-01-28T04:14:00-05:00,117.02,117.02,116.99,116.99,116.99,563
2025-01-28T04:15:00-05:00,116.93,117,116.93,117,117,2318
2025-01-28T04:16:00-05:00,117.01,117.01,116.91,116.91,116.91,1493
2025-01-28T04:17:00-05:00,116.88,116.88,116.88,116.88,116.88,694
2025-01-28T04:19:00-05:00,116.93,116.95,116.91,116.93,116.93,1609
2025-01-28T04:20:00-05:00,116.66,116.7,116.65,116.7,116.7,996
2025-01-28T04:21:00-05:00,116.7,116.88,116.7,116.8,116.8,2177
2025-01-28T04:22:00-05:00,116.71,116.71,116.7,116.7,116.7,676
2025-01-28T04:23:00-05:00,116.7,116.7,116.58,116.61,116.61,2101
2025-01-28T04:25:00-05:00,116.67,116.68,116.67,116.68,116.68,667
2025-01-28T04:26:00-05:00,116.68,116.68,116.67,116.67,116.67,1678
2025-01-28T04:27:00-05:00,116.68,116.72,116.65,116.65,116.65,1295
2025-01-28T04:28:00-05:00,116.62,116.62,116.55,116.6,116.6,2927
2025-01-28T04:29:00-05:00,116.56,116.56,116.43,116.43,116.43,2299
2025-01-28T04:30:00-05:00,116.43,116.56,116.43,116.49,116.49,1220
2025-01-28T04:31:00-05:00,116.56,116.65,116.55,116.65,116.65,1277
2025-01-28T04:32:00-05:00,116.64,116.68,116.59,116.67,116.67,831
2025-01-28T04:33:00-05:00,116.7,116.7,116.59,116.59,116.59,377
2025-01-28T04:34:00-05:00,116.75,116.75,116.75,116.75,116.75,179
2025-01-28T04:35:00-05:00,116.73,116.73,116.7,116.7,116.7,231
2025-01-28T04:36:00-05:00,116.81,116.81,116.81,116.81,116.81,415
2025-01-28T04:38:00-05:00,116.87,116.87,116.87,116.87,116.87,286
2025-01-28T04:39:00-05:00,116.92,116.94,116.88,116.94,116.94,1448
2025-01-28T04:41:00-05:00,116.75,116.81,116.75,116.81,116.81,306
2025-01-28T04:44:00-05:00,116.9,116.9,116.9,116.9,116.9,450
2025-01-28T04:46:00-05:00,116.87,116.87,116.87,116.87,116.87,397
2025-01-28T04:48:00-05:00,116.81,116.81,116.81,116.81,116.81,226
2025-01-28T04:49:00-05:00,116.81,116.81,116.81,116.81,116.81,518
2025-01-28T04:50:00-05:00,116.8,116.8,116.76,116.76,116.76,557
2025-01-28T04:53:00-05:00,116.8,116.8,116.8,116.8,116.8,142
2025-01-28T04:54:00-05:00,116.8,116.8,116.8,116.8,116.8,358
2025-01-28T04:55:00-05:00,116.82,116.82,116.82,116.82,116.82,104
2025-01-28T04:56:00-05:00,116.81,116.81,116.81,116.81,116.81,278
2025-01-28T04:57:00-05:00,116.82,116.82,116.82,116.82,116.82,411
2025-01-28T04:58:00-05:00,116.84,116.95,116.84,116.89,116.89,1613
2025-01-28T04:59:00-05:00,116.93,116.94,116.92,116.94,116.94,746
2025-01-28T05:00:00-05:00,116.94,117.04,116.94,117.01,117.01,2837
2025-01-28T05:01:00-05:00,117.05,117.06,117.05,117.06,117.06,1562
2025-01-28T05:02:00-05:00,117.02,117.14,117.02,117.14,117.14,415
2025-01-28T05:04:00-05:00,117.19,117.19,117.19,117.19,117.19,484
2025-01-28T05:05:00-05:00,117.12,117.12,117.12,117.12,117.12,395
2025-01-28T05:06:00-05:00,117.09,117.09,117.05,117.05,117.05,927
2025-01-28T05:07:00-05:00,117.19,117.19,117.19,117.19,117.19,293
2025-01-28T05:08:00-05:00,117.15,117.22,117.15,117.22,117.22,682
2025-01-28T05:09:00-05:00,117.18,117.18,117.18,117.18,117.18,229
2025-01-28T05:10:00-05:00,117.06,117.06,117.06,117.06,117.06,388
2025-01-28T05:11:00-05:00,117.2,117.21,117.14,117.14,117.14,565
2025-01-28T05:12:00-05:00,117.12,117.14,117.11,117.14,117.14,1089
2025-01-28T05:13:00-05:00,117.14,117.14,117,117,117,3551
2025-01-28T05:15:00-05:00,117.08,117.08,117.08,117.08,117.08,203
2025-01-28T05:16:00-05:00,117.08,117.08,117,117.04,117.04,1070
2025-01-28T05:17:00-05:00,117.04,117.04,117,117.01,117.01,1053
2025-01-28T05:18:00-05:00,117.04,117.09,117.01,117.09,117.09,1867
2025-01-28T05:19:00-05:00,117.09,117.09,117.01,117.01,117.01,1536
2025-01-28T05:20:00-05:00,116.99,117.02,116.95,117.02,117.02,1516
2025-01-28T05:21:00-05:00,117.02,117.02,117.02,117.02,117.02,215
2025-01-28T05:22:00-05:00,117.06,117.06,117.02,117.02,117.02,904
2025-01-28T05:23:00-05:00,117.05,117.06,117.05,117.06,117.06,510
2025-01-28T05:24:00-05:00,117.02,117.02,117.02,117.02,117.02,230
2025-01-28T05:25:00-05:00,117.04,117.04,117.04,117.04,117.04,717
2025-01-28T05:27:00-05:00,116.99,117,116.99,117,117,682
2025-01-28T05:33:00-05:00,116.87,116.9,116.87,116.9,116.9,661
2025-01-28T05:34:00-05:00,116.92,116.92,116.92,116.92,116.92,471
2025-01-28T05:36:00-05:00,116.95,116.95,116.94,116.94,116.94,333
2025-01-28T05:37:00-05:00,116.97,116.99,116.95,116.95,116.95,4093
2025-01-28T05:38:00-05:00,116.86,116.86,116.86,116.86,116.86,742
2025-01-28T05:39:00-05:00,116.88,116.88,116.82,116.82,116.82,284
2025-01-28T05:40:00-05:00,116.93,116.93,116.89,116.89,116.89,1182
2025-01-28T05:41:00-05:00,116.97,116.99,116.9,116.9,116.9,1803
2025-01-28T05:42:00-05:00,116.96,116.96,116.96,116.96,116.96,823
2025-01-28T05:43:00-05:00,116.88,116.91,116.88,116.91,116.91,320
2025-01-28T05:44:00-05:00,116.87,116.91,116.87,116.91,116.91,631
2025-01-28T05:45:00-05:00,116.81,116.9,116.81,116.9,116.9,469
2025-01-28T05:46:00-05:00,116.91,116.91,116.91,116.91,116.91,528
2025-01-28T05:47:00-05:00,116.94,117,116.94,117,117,569
2025-01-28T05:49:00-05:00,116.99,116.99,116.98,116.99,116.99,971
2025-01-28T05:50:00-05:00,117,117,117,117,117,408
2025-01-28T05:55:00-05:00,117.01,117.02,117,117,117,1798
2025-01-28T05:57:00-05:00,116.96,116.96,116.96,116.96,116.96,378
2025-01-28T06:00:00-05:00,116.9,116.99,116.9,116.91,116.91,862
2025-01-28T06:02:00-05:00,116.86,116.86,116.86,116.86,116.86,382
2025-01-28T06:03:00-05:00,116.85,116.94,116.85,116.94,116.94,1565
2025-01-28T06:06:00-05:00,117,117,117,117,117,269
2025-01-28T06:07:00-05:00,117.02,117.02,117.01,117.01,117.01,636
2025-01-28T06:08:00-05:00,117.04,117.04,117.04,117.04,117.04,184
2025-01-28T06:10:00-05:00,117.06,117.06,117.06,117.06,117.06,344
2025-01-28T06:14:00-05:00,117.07,117.07,117.07,117.07,117.07,455
2025-01-28T06:15:00-05:00,117.14,117.25,117.14,117.25,117.25,2428
2025-01-28T06:16:00-05:00,117.03,117.03,115.93,116.03,116.03,26159
2025-01-28T06:17:00-05:00,115.91,116.06,115.8,115.99,115.99,12014
2025-01-28T06:18:00-05:00,116,116.01,115.9,115.9,115.9,6916
2025-01-28T06:19:00-05:00,115.83,115.85,115.74,115.83,115.83,5778
2025-01-28T06:20:00-05:00,115.73,115.78,115.37,115.5,115.5,17238
2025-01-28T06:21:00-05:00,115.5,115.5,115.2,115.3,115.3,10003
2025-01-28T06:22:00-05:00,115.34,115.49,115.3,115.49,115.49,8456
2025-01-28T06:23:00-05:00,115.52,115.67,115.5,115.67,115.67,3632
2025-01-28T06:24:00-05:00,115.67,115.69,115.67,115.69,115.69,1018
2025-01-28T06:25:00-05:00,115.68,115.68,115.68,115.68,115.68,544
2025-01-28T06:26:00-05:00,115.68,115.68,115.67,115.67,115.67,532
2025-01-28T06:27:00-05:00,115.69,115.7,115.69,115.7,115.7,1874
2025-01-28T06:28:00-05:00,115.7,115.7,115.7,115.7,115.7,848
2025-01-28T06:29:00-05:00,115.69,115.7,115.69,115.69,115.69,772
2025-01-28T06:30:00-05:00,115.73,115.73,115.73,115.73,115.73,337
2025-01-28T06:31:00-05:00,115.79,115.79,115.79,115.79,115.79,501
2025-01-28T06:32:00-05:00,115.7,115.7,115.26,115.45,115.45,7864
2025-01-28T06:33:00-05:00,115.31,115.31,115.2,115.25,115.25,9506
2025-01-28T06:34:00-05:00,115.27,115.27,115.27,115.27,115.27,467
2025-01-28T06:35:00-05:00,115.27,115.27,115.01,115.07,115.07,4616
2025-01-28T06:36:00-05:00,115.01,115.2,115.01,115.18,115.18,1398
2025-01-28T06:38:00-05:00,115.43,115.43,115.38,115.41,115.41,771
2025-01-28T06:39:00-05:00,115.45,115.53,115.45,115.53,115.53,939
2025-01-28T06:40:00-05:00,115.63,115.68,115.63,115.68,115.68,784
2025-01-28T06:41:00-05:00,115.64,115.69,115.64,115.69,115.69,750
2025-01-28T06:42:00-05:00,115.67,115.68,115.61,115.61,115.61,815
2025-01-28T06:43:00-05:00,115.61,115.67,115.52,115.52,115.52,1653
2025-01-28T06:46:00-05:00,115.56,115.56,115.55,115.55,115.55,442
2025-01-28T06:47:00-05:00,115.56,115.56,115.47,115.47,115.47,588
2025-01-28T06:48:00-05:00,115.52,115.52,115.52,115.52,115.52,194
2025-01-28T06:49:00-05:00,115.59,115.59,115.51,115.59,115.59,674
2025-01-28T06:50:00-05:00,115.6,115.6,115.55,115.55,115.55,950
2025-01-28T06:52:00-05:00,115.64,115.69,115.64,115.69,115.69,904
2025-01-28T06:53:00-05:00,115.68,115.68,115.51,115.52,115.52,719
2025-01-28T06:56:00-05:00,115.57,115.57,115.57,115.57,115.57,166
2025-01-28T06:57:00-05:00,115.6,115.6,115.5,115.5,115.5,1136
2025-01-28T06:58:00-05:00,115.51,115.51,115.35,115.36,115.36,2562
2025-01-28T06:59:00-05:00,115.35,115.37,115.02,115.03,115.03,7165
2025-01-28T07:00:00-05:00,115.26,115.5,115.22,115.22,115.22,15578
2025-01-28T07:01:00-05:00,115.25,115.3,115.25,115.3,115.3,1324
2025-01-28T07:02:00-05:00,115.4,115.4,115.18,115.18,115.18,5659
2025-01-28T07:03:00-05:00,115.11,115.18,115.05,115.11,115.11,5223
2025-01-28T07:04:00-05:00,115.16,115.16,115,115.01,115.01,5827
2025-01-28T07:05:00-05:00,115.06,115.08,114.91,114.92,114.92,12016
2025-01-28T07:06:00-05:00,115,115.06,114.91,114.93,114.93,3940
2025-01-28T07:07:00-05:00,115.1,115.14,115,115.12,115.12,1969
2025-01-28T07:08:00-05:00,115.07,115.18,115.07,115.18,115.18,1264
2025-01-28T07:09:00-05:00,115.18,115.29,115.18,115.2,115.2,7234
2025-01-28T07:10:00-05:00,115.08,115.08,114.62,114.76,114.76,19754
2025-01-28T07:11:00-05:00,114.93,114.93,114.93,114.93,114.93,700
2025-01-28T07:12:00-05:00,114.8,114.8,114.72,114.8,114.8,4651
2025-01-28T07:13:00-05:00,114.92,114.99,114.91,114.99,114.99,2128
2025-01-28T07:14:00-05:00,114.87,114.89,114.87,114.89,114.89,734
2025-01-28T07:15:00-05:00,114.86,115.04,114.85,114.99,114.99,6758
2025-01-28T07:16:00-05:00,114.98,115.02,114.98,115.02,115.02,642
2025-01-28T07:17:00-05:00,115.02,115.05,115,115.01,115.01,1557
2025-01-28T07:18:00-05:00,115.08,115.08,114.87,114.87,114.87,1275
