Datetime,Open,High,Low,Close,Adj Close,Volume
2025-02-12T04:00:00-05:00,235.2,235.2,235.2,235.2,235.2,357
2025-02-12T04:02:00-05:00,235.26,235.38,235.26,235.38,235.38,735
2025-02-12T04:03:00-05:00,235.27,235.35,235.26,235.35,235.35,1047
2025-02-12T04:04:00-05:00,235.33,235.33,235.24,235.24,235.24,998
2025-02-12T04:05:00-05:00,235.24,235.24,235.24,235.24,235.24,620
2025-02-12T04:06:00-05:00,235.29,235.29,235.29,235.29,235.29,297
2025-02-12T04:07:00-05:00,235.11,235.11,235.11,235.11,235.11,690
2025-02-12T04:08:00-05:00,235.1,235.1,234.96,235.01,235.01,2540
2025-02-12T04:09:00-05:00,235.29,235.29,235.23,235.23,235.23,1172
2025-02-12T04:10:00-05:00,235.2,235.22,235.2,235.21,235.21,795
2025-02-12T04:11:00-05:00,235.05,235.05,234.87,234.97,234.97,921
2025-02-12T04:12:00-05:00,234.98,234.98,234.98,234.98,234.98,549
2025-02-12T04:15:00-05:00,235.47,235.47,235.47,235.47,235.47,1054
2025-02-12T04:16:00-05:00,235.39,235.39,235.39,235.39,235.39,180
2025-02-12T04:19:00-05:00,235.29,235.29,235.29,235.29,235.29,775
2025-02-12T04:22:00-05:00,235,235,234.99,235,235,1121
2025-02-12T04:28:00-05:00,235.28,235.31,235.28,235.3,235.3,859
2025-02-12T04:33:00-05:00,235.37,235.37,235.37,235.37,235.37,280
2025-02-12T04:36:00-05:00,235.45,235.45,235.45,235.45,235.45,362
2025-02-12T04:40:00-05:00,235.4,235.5,235.4,235.5,235.5,1135
2025-02-12T04:53:00-05:00,235.41,235.41,235.41,235.41,235.41,444
2025-02-12T04:55:00-05:00,235.36,235.36,235.36,235.36,235.36,339
2025-02-12T04:59:00-05:00,235.25,235.25,235.25,235.25,235.25,226
2025-02-12T05:01:00-05:00,235.21,235.21,235.21,235.21,235.21,308
2025-02-12T05:02:00-05:00,235.15,235.15,235.15,235.15,235.15,137
2025-02-12T05:03:00-05:00,235.09,235.09,235.06,235.06,235.06,439
2025-02-12T05:07:00-05:00,235.15,235.15,235.15,235.15,235.15,515
2025-02-12T05:11:00-05:00,235.24,235.24,235.24,235.24,235.24,103
2025-02-12T05:12:00-05:00,235.23,235.23,235.23,235.23,235.23,162
2025-02-12T05:25:00-05:00,235.29,235.29,235.29,235.29,235.29,140
2025-02-12T05:55:00-05:00,235.55,235.55,235.55,235.55,235.55,950
2025-02-12T05:58:00-05:00,235.58,235.63,235.58,235.63,235.63,395
2025-02-12T06:04:00-05:00,235.7,235.7,235.7,235.7,235.7,138
2025-02-12T06:35:00-05:00,235.49,235.5,235.49,235.5,235.5,606
2025-02-12T06:47:00-05:00,235.5,235.52,235.5,235.52,235.52,4368
2025-02-12T06:50:00-05:00,235.46,235.46,235.46,235.46,235.46,112
2025-02-12T06:54:00-05:00,235.38,235.38,235.36,235.36,235.36,733
2025-02-12T07:00:00-05:00,235.2,235.32,235.2,235.32,235.32,1102
2025-02-12T07:01:00-05:00,235.17,235.17,235.1,235.1,235.1,2537
2025-02-12T07:03:00-05:00,235.13,235.13,235.13,235.13,235.13,383
2025-02-12T07:07:00-05:00,235.3,235.3,235.3,235.3,235.3,267
2025-02-12T07:09:00-05:00,235.27,235.27,235.07,235.1,235.1,2296
2025-02-12T07:10:00-05:00,235.02,235.02,235.02,235.02,235.02,193
2025-02-12T07:14:00-05:00,235.14,235.15,235.14,235.15,235.15,456
2025-02-12T07:19:00-05:00,235.29,235.29,235.29,235.29,235.29,201
2025-02-12T07:20:00-05:00,235.29,235.3,235.29,235.3,235.3,707
2025-02-12T07:23:00-05:00,235.47,235.49,235.47,235.49,235.49,415
2025-02-12T07:24:00-05:00,235.16,235.21,235.16,235.21,235.21,518
2025-02-12T07:25:00-05:00,235.33,235.4,235.33,235.4,235.4,1150
2025-02-12T07:31:00-05:00,235.3,235.3,235.3,235.3,235.3,221
2025-02-12T07:32:00-05:00,235.34,235.34,235.21,235.21,235.21,699
2025-02-12T07:34:00-05:00,235.35,235.38,235.35,235.38,235.38,394
2025-02-12T07:36:00-05:00,235.51,235.63,235.51,235.63,235.63,705
2025-02-12T07:39:00-05:00,235.64,235.68,235.63,235.68,235.68,387
2025-02-12T07:40:00-05:00,235.75,235.75,235.74,235.74,235.74,492
2025-02-12T07:41:00-05:00,235.78,235.78,235.78,235.78,235.78,316
