Datetime,Open,High,Low,Close,Adj Close,Volume
2025-04-28T04:00:00-04:00,208.74,208.74,208.74,208.74,208.74,731
2025-04-28T04:03:00-04:00,208.63,208.94,208.63,208.94,208.94,511
2025-04-28T04:04:00-04:00,208.91,208.91,208.91,208.91,208.91,430
2025-04-28T04:06:00-04:00,208.8,208.8,208.72,208.72,208.72,359
2025-04-28T04:07:00-04:00,208.72,208.72,208.72,208.72,208.72,535
2025-04-28T04:08:00-04:00,208.45,208.45,208.44,208.44,208.44,945
2025-04-28T04:09:00-04:00,208.47,208.47,208.45,208.45,208.45,331
2025-04-28T04:10:00-04:00,208.48,208.48,208.48,208.48,208.48,616
2025-04-28T04:12:00-04:00,208.65,208.67,208.65,208.67,208.67,597
2025-04-28T04:13:00-04:00,208.82,208.82,208.82,208.82,208.82,253
2025-04-28T04:14:00-04:00,208.82,208.88,208.82,208.88,208.88,791
2025-04-28T04:15:00-04:00,208.87,208.87,208.87,208.87,208.87,201
2025-04-28T04:17:00-04:00,208.9,208.9,208.9,208.9,208.9,209
2025-04-28T04:19:00-04:00,208.83,208.83,208.83,208.83,208.83,205
2025-04-28T04:28:00-04:00,209.06,209.06,209.06,209.06,209.06,427
2025-04-28T04:46:00-04:00,208.94,208.94,208.94,208.94,208.94,1027
2025-04-28T04:47:00-04:00,208.99,208.99,208.95,208.95,208.95,416
2025-04-28T04:48:00-04:00,208.88,208.88,208.88,208.88,208.88,525
2025-04-28T04:49:00-04:00,208.82,208.82,208.82,208.82,208.82,121
2025-04-28T04:50:00-04:00,208.94,209,208.94,209,209,883
2025-04-28T04:57:00-04:00,209.11,209.11,209.11,209.11,209.11,493
2025-04-28T04:59:00-04:00,209.09,209.22,209.09,209.22,209.22,977
2025-04-28T05:03:00-04:00,209.47,209.5,209.47,209.5,209.5,426
2025-04-28T05:10:00-04:00,209.4,209.4,209.4,209.4,209.4,118
2025-04-28T05:20:00-04:00,209.4,209.4,209.4,209.4,209.4,508
2025-04-28T05:27:00-04:00,209.5,209.5,209.5,209.5,209.5,333
2025-04-28T05:28:00-04:00,209.28,209.28,209.28,209.28,209.28,170
2025-04-28T05:31:00-04:00,209.5,209.5,209.5,209.5,209.5,441
2025-04-28T05:41:00-04:00,209.67,209.67,209.67,209.67,209.67,389
2025-04-28T05:43:00-04:00,209.88,209.88,209.88,209.88,209.88,480
2025-04-28T05:44:00-04:00,209.98,209.98,209.98,209.98,209.98,140
2025-04-28T05:46:00-04:00,209.87,209.87,209.87,209.87,209.87,870
2025-04-28T05:48:00-04:00,209.79,209.79,209.79,209.79,209.79,227
2025-04-28T05:56:00-04:00,209.64,209.64,209.64,209.64,209.64,1415
2025-04-28T06:00:00-04:00,209.53,209.53,209.53,209.53,209.53,777
2025-04-28T06:16:00-04:00,209.5,209.5,209.5,209.5,209.5,272
2025-04-28T06:19:00-04:00,209.18,209.18,209.09,209.09,209.09,304
2025-04-28T06:21:00-04:00,209,209.01,209,209.01,209.01,904
2025-04-28T06:23:00-04:00,208.77,208.87,208.77,208.79,208.79,1420
2025-04-28T06:37:00-04:00,209.68,209.68,209.68,209.68,209.68,246
2025-04-28T06:39:00-04:00,209.6,209.6,209.42,209.42,209.42,735
2025-04-28T06:40:00-04:00,209.91,210.13,209.91,210,210,3682
2025-04-28T06:41:00-04:00,209.89,209.9,209.8,209.8,209.8,1121
2025-04-28T06:42:00-04:00,209.69,209.78,209.45,209.45,209.45,1999
2025-04-28T06:43:00-04:00,209.58,209.58,209.58,209.58,209.58,413
2025-04-28T06:44:00-04:00,209.86,209.92,209.86,209.92,209.92,732
2025-04-28T06:45:00-04:00,210.11,210.2,210.1,210.1,210.1,2991
2025-04-28T06:46:00-04:00,210.34,210.34,210.26,210.26,210.26,602
2025-04-28T06:47:00-04:00,209.79,209.79,209.79,209.79,209.79,251
2025-04-28T06:50:00-04:00,209.79,209.79,209.24,209.24,209.24,4317
2025-04-28T06:51:00-04:00,209.28,209.82,209.25,209.82,209.82,1388
2025-04-28T06:55:00-04:00,209.23,209.23,209.23,209.23,209.23,420
2025-04-28T06:56:00-04:00,209.3,209.3,209.08,209.08,209.08,1655
2025-04-28T06:57:00-04:00,209.15,209.18,208.54,208.54,208.54,3648
2025-04-28T06:58:00-04:00,208.55,208.71,208.21,208.22,208.22,1936
2025-04-28T06:59:00-04:00,208.1,208.1,207.15,207.15,207.15,3532
2025-04-28T07:00:00-04:00,207.94,208,207.86,207.86,207.86,1571
2025-04-28T07:03:00-04:00,207.98,208.13,207.98,208.13,208.13,1434
2025-04-28T07:06:00-04:00,208.39,208.67,208.39,208.67,208.67,1687
2025-04-28T07:07:00-04:00,208.8,208.82,208.6,208.6,208.6,1810
2025-04-28T07:08:00-04:00,208.74,208.8,208.74,208.8,208.8,1626
2025-04-28T07:09:00-04:00,209.01,209.01,208.89,208.9,208.9,1772
2025-04-28T07:10:00-04:00,209,209.23,209,209.23,209.23,1776
2025-04-28T07:11:00-04:00,209.24,209.29,208.74,208.74,208.74,1025
2025-04-28T07:12:00-04:00,208.6,208.6,208.6,208.6,208.6,596
2025-04-28T07:13:00-04:00,208.6,208.81,208.6,208.81,208.81,1019
2025-04-28T07:17:00-04:00,208.95,209,208.95,209,209,1517
2025-04-28T07:19:00-04:00,208.64,208.64,208.58,208.58,208.58,395
2025-04-28T07:20:00-04:00,208.65,208.65,208.65,208.65,208.65,296
2025-04-28T07:21:00-04:00,208.55,208.55,208.55,208.55,208.55,707
2025-04-28T07:23:00-04:00,208.64,208.65,208.64,208.64,208.64,1445
2025-04-28T07:24:00-04:00,208.86,208.86,208.85,208.85,208.85,655
2025-04-28T07:25:00-04:00,209,209,208.99,208.99,208.99,562
2025-04-28T07:26:00-04:00,208.99,209.25,208.99,209.25,209.25,2065
2025-04-28T07:27:00-04:00,209.19,209.29,209.19,209.29,209.29,1061
2025-04-28T07:33:00-04:00,209.35,209.35,209.35,209.35,209.35,230
2025-04-28T07:34:00-04:00,209.37,209.37,209.37,209.37,209.37,561
2025-04-28T07:35:00-04:00,209.36,209.36,209.3,209.3,209.3,602
2025-04-28T07:36:00-04:00,209.3,209.3,209.3,209.3,209.3,188
2025-04-28T07:37:00-04:00,209.45,209.45,209.45,209.45,209.45,443
2025-04-28T07:39:00-04:00,209.45,209.5,209.45,209.5,209.5,1203
2025-04-28T07:40:00-04:00,209.62,209.62,209.62,209.62,209.62,223
2025-04-28T07:43:00-04:00,209.7,209.7,209.7,209.7,209.7,210
