Datetime,Open,High,Low,Close,Adj Close,Volume
2026-02-23T04:00:00-05:00,314.52,314.87,313.33,314.87,314.87,7889
2026-02-23T04:01:00-05:00,314.73,314.91,314.69,314.69,314.69,2382
2026-02-23T04:02:00-05:00,314.81,314.99,314.81,314.93,314.93,2398
2026-02-23T04:03:00-05:00,315.11,315.5,315.11,315.5,315.5,2850
2026-02-23T04:04:00-05:00,315.52,315.52,315.41,315.41,315.41,1051
2026-02-23T04:05:00-05:00,315.6,315.86,315.4,315.4,315.4,5546
2026-02-23T04:06:00-05:00,315.3,315.45,315.29,315.45,315.45,2438
2026-02-23T04:07:00-05:00,315.63,315.66,315.63,315.66,315.66,752
2026-02-23T04:08:00-05:00,315.84,315.91,315.84,315.91,315.91,967
2026-02-23T04:09:00-05:00,315.9,315.98,315.89,315.98,315.98,1464
2026-02-23T04:10:00-05:00,316.02,316.24,316.02,316.17,316.17,3551
2026-02-23T04:11:00-05:00,316.16,316.3,316.16,316.3,316.3,1647
2026-02-23T04:12:00-05:00,316.16,316.27,316.16,316.16,316.16,1548
2026-02-23T04:13:00-05:00,316.16,316.16,316.12,316.12,316.12,2032
2026-02-23T04:15:00-05:00,316.01,316.01,316.01,316.01,316.01,438
2026-02-23T04:17:00-05:00,315.84,315.99,315.84,315.99,315.99,2799
2026-02-23T04:18:00-05:00,315.91,315.91,315.56,315.56,315.56,1539
2026-02-23T04:21:00-05:00,315.76,315.76,315.76,315.76,315.76,120
2026-02-23T04:26:00-05:00,316.12,316.12,316.12,316.12,316.12,233
2026-02-23T04:27:00-05:00,316.14,316.14,316.14,316.14,316.14,382
2026-02-23T04:31:00-05:00,316.24,316.24,316.24,316.24,316.24,582
2026-02-23T04:32:00-05:00,316.14,316.14,316.14,316.14,316.14,351
2026-02-23T04:33:00-05:00,316.14,316.14,316.14,316.14,316.14,645
2026-02-23T04:35:00-05:00,316.03,316.03,316.03,316.03,316.03,168
2026-02-23T04:36:00-05:00,316.25,316.25,316.25,316.25,316.25,261
2026-02-23T04:39:00-05:00,316.37,316.37,316.37,316.37,316.37,395
2026-02-23T04:40:00-05:00,316.4,316.4,316.4,316.4,316.4,976
2026-02-23T04:41:00-05:00,316.38,316.38,316.38,316.38,316.38,304
