Datetime,Open,High,Low,Close,Adj Close,Volume
2026-03-04T04:00:00-05:00,302,302,302,302,302,1150
2026-03-04T04:02:00-05:00,301.17,301.23,301.08,301.23,301.23,3625
2026-03-04T04:03:00-05:00,301.23,301.47,301.23,301.47,301.47,3361
2026-03-04T04:04:00-05:00,301.33,301.33,301.33,301.33,301.33,1595
2026-03-04T04:05:00-05:00,301.16,301.16,301.08,301.08,301.08,861
2026-03-04T04:07:00-05:00,300.89,300.89,300.89,300.89,300.89,806
2026-03-04T04:11:00-05:00,301.04,301.08,301.04,301.08,301.08,1355
2026-03-04T04:12:00-05:00,301.27,301.27,301.27,301.27,301.27,560
2026-03-04T04:13:00-05:00,301.32,301.42,301.32,301.42,301.42,972
2026-03-04T04:14:00-05:00,301.8,301.8,301.75,301.79,301.79,1927
2026-03-04T04:15:00-05:00,301.52,301.52,301.52,301.52,301.52,782
2026-03-04T04:16:00-05:00,301.8,301.8,301.79,301.79,301.79,548
2026-03-04T04:17:00-05:00,301.74,301.74,301.74,301.74,301.74,986
2026-03-04T04:18:00-05:00,301.83,302,301.83,302,302,1565
2026-03-04T04:22:00-05:00,301.94,301.94,301.94,301.94,301.94,260
2026-03-04T04:24:00-05:00,301.8,301.82,301.8,301.82,301.82,1037
2026-03-04T04:26:00-05:00,301.9,301.9,301.9,301.9,301.9,635
2026-03-04T04:33:00-05:00,301.7,301.7,301.7,301.7,301.7,940
2026-03-04T04:36:00-05:00,301.98,302.17,301.98,302.17,302.17,2310
2026-03-04T04:37:00-05:00,302.2,302.2,302.2,302.2,302.2,1236
2026-03-04T04:40:00-05:00,302.06,302.28,302.05,302.28,302.28,1243
2026-03-04T04:41:00-05:00,302.3,302.32,302.28,302.28,302.28,891
2026-03-04T04:43:00-05:00,302.33,302.33,302.33,302.33,302.33,422
2026-03-04T04:44:00-05:00,302.32,302.32,302.32,302.32,302.32,695
2026-03-04T04:48:00-05:00,302.46,302.46,302.46,302.46,302.46,1334
2026-03-04T04:49:00-05:00,302.69,302.71,302.69,302.71,302.71,825
2026-03-04T04:50:00-05:00,302.71,302.9,302.71,302.88,302.88,1734
2026-03-04T04:52:00-05:00,302.8,302.8,302.7,302.7,302.7,1497
2026-03-04T04:53:00-05:00,302.7,302.7,302.62,302.62,302.62,579
2026-03-04T04:54:00-05:00,302.51,302.51,302.51,302.51,302.51,868
2026-03-04T04:55:00-05:00,302.62,302.62,302.62,302.62,302.62,294
2026-03-04T04:58:00-05:00,302.45,302.45,302.45,302.45,302.45,509
2026-03-04T05:02:00-05:00,302.56,302.68,302.56,302.68,302.68,2069
2026-03-04T05:07:00-05:00,302.74,302.75,302.74,302.75,302.75,943
2026-03-04T05:08:00-05:00,303,303.73,303,303.73,303.73,5303
2026-03-04T05:09:00-05:00,303.73,303.73,303.73,303.73,303.73,1335
2026-03-04T05:10:00-05:00,303.73,304.33,303.73,304.33,304.33,3780
2026-03-04T05:11:00-05:00,304.09,304.09,304.08,304.08,304.08,742
2026-03-04T05:12:00-05:00,304.02,304.02,303.68,303.68,303.68,2254
2026-03-04T05:13:00-05:00,303.33,303.55,303.33,303.55,303.55,1540
2026-03-04T05:14:00-05:00,303.77,303.77,303.77,303.77,303.77,683
2026-03-04T05:17:00-05:00,303.92,303.98,303.85,303.85,303.85,1167
2026-03-04T05:18:00-05:00,303.83,303.83,303.6,303.6,303.6,1607
2026-03-04T05:19:00-05:00,303.64,303.66,303.56,303.66,303.66,1015
2026-03-04T05:20:00-05:00,303.68,303.68,303.68,303.68,303.68,329
2026-03-04T05:21:00-05:00,303.5,303.5,303.5,303.5,303.5,1322
2026-03-04T05:23:00-05:00,303.67,303.67,303.62,303.62,303.62,630
2026-03-04T05:24:00-05:00,303.69,303.8,303.69,303.8,303.8,2140
2026-03-04T05:25:00-05:00,303.3,303.3,303.1,303.1,303.1,2326
2026-03-04T05:28:00-05:00,303.25,303.39,303.25,303.39,303.39,1420
2026-03-04T05:30:00-05:00,303.65,303.65,303.65,303.65,303.65,498
2026-03-04T05:35:00-05:00,303.78,303.88,303.78,303.88,303.88,977
2026-03-04T05:36:00-05:00,304.15,304.18,304.15,304.18,304.18,1562
2026-03-04T05:40:00-05:00,303.67,303.67,303.57,303.61,303.61,2651
2026-03-04T05:41:00-05:00,303.72,303.72,303.72,303.72,303.72,553
2026-03-04T05:46:00-05:00,303.58,303.58,303.58,303.58,303.58,488
2026-03-04T05:52:00-05:00,303.31,303.31,303.31,303.31,303.31,1385
2026-03-04T05:53:00-05:00,303.41,303.41,303.41,303.41,303.41,417
2026-03-04T05:54:00-05:00,303.5,303.5,303.5,303.5,303.5,274
2026-03-04T05:56:00-05:00,303.3,303.3,303.3,303.3,303.3,764
2026-03-04T05:57:00-05:00,303.4,303.4,303.4,303.4,303.4,612
2026-03-04T05:58:00-05:00,303.46,303.46,303.46,303.46,303.46,402
2026-03-04T05:59:00-05:00,303.45,303.45,303.45,303.45,303.45,835
2026-03-04T06:01:00-05:00,303.68,303.78,303.68,303.78,303.78,1512
2026-03-04T06:03:00-05:00,303.8,303.8,303.8,303.8,303.8,780
2026-03-04T06:06:00-05:00,303.97,303.97,303.97,303.97,303.97,679
2026-03-04T06:08:00-05:00,303.83,303.83,303.66,303.72,303.72,2486
2026-03-04T06:11:00-05:00,303.62,303.62,303.62,303.62,303.62,322
2026-03-04T06:16:00-05:00,304,304,304,304,304,1002
2026-03-04T06:17:00-05:00,304.23,304.35,304.23,304.35,304.35,1904
2026-03-04T06:18:00-05:00,304.46,304.46,304.2,304.2,304.2,3163
