Datetime,Open,High,Low,Close,Adj Close,Volume
2025-12-24T04:00:00-05:00,36.52,36.52,36.41,36.47,36.47,2543
2025-12-24T04:01:00-05:00,36.46,36.46,36.44,36.44,36.44,435
2025-12-24T04:02:00-05:00,36.47,36.47,36.47,36.47,36.47,235
2025-12-24T04:03:00-05:00,36.44,36.44,36.44,36.44,36.44,876
2025-12-24T04:04:00-05:00,36.42,36.43,36.42,36.43,36.43,1498
2025-12-24T04:05:00-05:00,36.4,36.41,36.39,36.39,36.39,2057
2025-12-24T04:06:00-05:00,36.41,36.42,36.35,36.35,36.35,7111
2025-12-24T04:08:00-05:00,36.38,36.38,36.38,36.38,36.38,375
2025-12-24T04:41:00-05:00,36.44,36.44,36.43,36.43,36.43,1234
2025-12-24T04:46:00-05:00,36.41,36.41,36.4,36.4,36.4,3446
2025-12-24T04:50:00-05:00,36.4,36.4,36.4,36.4,36.4,701
2025-12-24T04:52:00-05:00,36.42,36.42,36.42,36.42,36.42,1119
2025-12-24T04:55:00-05:00,36.44,36.44,36.44,36.44,36.44,175
2025-12-24T05:01:00-05:00,36.43,36.43,36.43,36.43,36.43,706
2025-12-24T05:03:00-05:00,36.43,36.43,36.43,36.43,36.43,462
2025-12-24T05:17:00-05:00,36.43,36.43,36.43,36.43,36.43,468
2025-12-24T05:19:00-05:00,36.43,36.44,36.43,36.44,36.44,1455
2025-12-24T05:23:00-05:00,36.45,36.45,36.45,36.45,36.45,887
2025-12-24T05:24:00-05:00,36.45,36.45,36.45,36.45,36.45,193
2025-12-24T05:26:00-05:00,36.46,36.49,36.46,36.475,36.475,989
2025-12-24T05:34:00-05:00,36.49,36.49,36.49,36.49,36.49,874
2025-12-24T05:35:00-05:00,36.48,36.48,36.48,36.48,36.48,100
2025-12-24T05:39:00-05:00,36.48,36.48,36.48,36.48,36.48,261
2025-12-24T05:42:00-05:00,36.47,36.47,36.47,36.47,36.47,178
2025-12-24T05:43:00-05:00,36.47,36.47,36.47,36.47,36.47,285
