Datetime,Open,High,Low,Close,Adj Close,Volume
2026-04-13T04:00:00-04:00,258.82,258.91,258.7,258.8,258.8,10793.007139
2026-04-13T04:01:00-04:00,258.84,258.99,257.67,258.88,258.88,26847
2026-04-13T04:02:00-04:00,258.89,258.89,258.87,258.89,258.89,3438
2026-04-13T04:03:00-04:00,259.01,259.01,259,259,259,441
2026-04-13T04:04:00-04:00,259,259.06,259,259.06,259.06,1396
2026-04-13T04:06:00-04:00,258.93,258.93,258.9,258.9,258.9,1064
2026-04-13T04:07:00-04:00,258.93,258.93,258.9,258.9,258.9,850.009459
2026-04-13T04:08:00-04:00,258.91,258.91,258.8,258.8,258.8,1024
2026-04-13T04:09:00-04:00,258.8,258.84,258.8,258.84,258.84,1577
2026-04-13T04:10:00-04:00,258.84,258.86,258.84,258.86,258.86,294
2026-04-13T04:11:00-04:00,258.85,258.85,258.84,258.84,258.84,677
2026-04-13T04:12:00-04:00,258.75,258.76,258.75,258.76,258.76,461
2026-04-13T04:13:00-04:00,258.82,258.82,258.8,258.8,258.8,329
2026-04-13T04:14:00-04:00,258.8,258.8,258.79,258.8,258.8,4094
2026-04-13T04:15:00-04:00,258.73,258.73,258.7,258.7,258.7,515
2026-04-13T04:17:00-04:00,258.78,258.79,258.78,258.78,258.78,488
2026-04-13T04:18:00-04:00,258.75,258.82,258.74,258.8,258.8,6187
2026-04-13T04:20:00-04:00,258.8,258.81,258.8,258.81,258.81,600
2026-04-13T04:21:00-04:00,258.8,258.8,258.8,258.8,258.8,274
2026-04-13T04:22:00-04:00,258.87,258.91,258.87,258.91,258.91,336
2026-04-13T04:23:00-04:00,258.85,258.85,258.85,258.85,258.85,268
2026-04-13T04:25:00-04:00,258.96,259.04,258.96,259.04,259.04,774
2026-04-13T04:26:00-04:00,259.05,259.05,259.05,259.05,259.05,139
2026-04-13T04:27:00-04:00,259.03,259.04,259.03,259.04,259.04,369
2026-04-13T04:29:00-04:00,259,259,259,259,259,209
2026-04-13T04:30:00-04:00,258.94,258.94,258.94,258.94,258.94,1401
2026-04-13T04:31:00-04:00,258.9,258.96,258.9,258.96,258.96,339
2026-04-13T04:33:00-04:00,258.86,258.86,258.84,258.84,258.84,665
2026-04-13T04:34:00-04:00,258.85,258.85,258.85,258.85,258.85,219
2026-04-13T04:35:00-04:00,258.93,258.93,258.88,258.88,258.88,905.2
2026-04-13T04:36:00-04:00,258.77,258.77,258.77,258.77,258.77,530
2026-04-13T04:37:00-04:00,258.76,258.76,258.76,258.76,258.76,324
2026-04-13T04:39:00-04:00,258.74,258.74,258.74,258.74,258.74,459
2026-04-13T04:41:00-04:00,258.67,258.67,258.67,258.67,258.67,251.2
2026-04-13T04:42:00-04:00,258.67,258.67,258.67,258.67,258.67,333
2026-04-13T04:45:00-04:00,258.71,258.71,258.71,258.71,258.71,742
2026-04-13T04:53:00-04:00,258.73,258.74,258.73,258.74,258.74,375
2026-04-13T04:55:00-04:00,258.82,258.82,258.81,258.82,258.82,231
2026-04-13T04:56:00-04:00,258.81,258.81,258.81,258.81,258.81,121
2026-04-13T04:57:00-04:00,258.82,258.82,258.82,258.82,258.82,201
2026-04-13T04:59:00-04:00,258.83,258.83,258.83,258.83,258.83,150
2026-04-13T05:00:00-04:00,259,259.21,259,259.02,259.02,4651
2026-04-13T05:01:00-04:00,258.96,258.96,258.96,258.96,258.96,278
