Datetime,Open,High,Low,Close,Adj Close,Volume
2024-11-18T04:00:00-05:00,416.7,416.7,416.7,416.7,416.7,762
2024-11-18T04:01:00-05:00,416.61,416.61,416.61,416.61,416.61,861
2024-11-18T04:02:00-05:00,416.14,416.14,416.14,416.14,416.14,1242
2024-11-18T04:04:00-05:00,415.5,415.5,415.5,415.5,415.5,756
2024-11-18T04:06:00-05:00,415.43,415.43,415.43,415.43,415.43,706
2024-11-18T04:07:00-05:00,415.15,415.15,415.15,415.15,415.15,943
2024-11-18T04:08:00-05:00,415.25,415.25,415.25,415.25,415.25,531
2024-11-18T04:17:00-05:00,415.02,415.02,415.02,415.02,415.02,597
2024-11-18T04:18:00-05:00,415.01,415.01,415.01,415.01,415.01,347
2024-11-18T04:21:00-05:00,415.01,415.01,415.01,415.01,415.01,609
2024-11-18T04:22:00-05:00,415.01,415.01,415.01,415.01,415.01,310
2024-11-18T04:28:00-05:00,415.3,415.3,415.3,415.3,415.3,646
2024-11-18T04:33:00-05:00,415.28,415.28,415.28,415.28,415.28,320
2024-11-18T04:35:00-05:00,415.41,415.41,415.41,415.41,415.41,652
2024-11-18T04:36:00-05:00,415.44,415.44,415.44,415.44,415.44,473
2024-11-18T04:38:00-05:00,415.6,415.6,415.6,415.6,415.6,382
2024-11-18T04:40:00-05:00,415.41,415.41,415.4,415.4,415.4,773
2024-11-18T04:44:00-05:00,415.5,415.5,415.5,415.5,415.5,492
2024-11-18T04:54:00-05:00,415.45,415.45,415.42,415.42,415.42,613
2024-11-18T05:02:00-05:00,415.56,415.56,415.55,415.55,415.55,486
2024-11-18T05:04:00-05:00,415.63,415.63,415.63,415.63,415.63,410
2024-11-18T05:10:00-05:00,415.87,415.87,415.87,415.87,415.87,406
2024-11-18T05:18:00-05:00,415.9,415.9,415.9,415.9,415.9,117
2024-11-18T05:20:00-05:00,415.86,415.87,415.86,415.87,415.87,563
2024-11-18T05:23:00-05:00,415.97,415.97,415.97,415.97,415.97,357
2024-11-18T05:25:00-05:00,416,416.04,416,416.04,416.04,545
2024-11-18T05:32:00-05:00,416,416,416,416,416,519
2024-11-18T05:43:00-05:00,416.28,416.28,416.28,416.28,416.28,584
2024-11-18T05:44:00-05:00,416.05,416.28,416.05,416.28,416.28,615
2024-11-18T05:48:00-05:00,416.35,416.35,416.35,416.35,416.35,365
2024-11-18T05:50:00-05:00,416.41,416.41,416.41,416.41,416.41,268
2024-11-18T05:51:00-05:00,416.41,416.41,416.41,416.41,416.41,297
2024-11-18T06:03:00-05:00,416.39,416.4,416.39,416.4,416.4,309
2024-11-18T06:20:00-05:00,416,416,416,416,416,300
2024-11-18T06:21:00-05:00,415.99,415.99,415.99,415.99,415.99,296
2024-11-18T06:28:00-05:00,415.81,415.81,415.71,415.71,415.71,1363
2024-11-18T06:29:00-05:00,415.72,415.72,415.71,415.71,415.71,787
2024-11-18T06:42:00-05:00,415.75,415.75,415.75,415.75,415.75,259
2024-11-18T06:58:00-05:00,416.3,416.3,416.3,416.3,416.3,566
2024-11-18T06:59:00-05:00,416.29,416.29,416.29,416.29,416.29,253
2024-11-18T07:00:00-05:00,416.06,416.2,416.01,416.2,416.2,1819
2024-11-18T07:04:00-05:00,416.15,416.3,416.15,416.15,416.15,1167
2024-11-18T07:05:00-05:00,416.5,416.5,416.49,416.5,416.5,2305
2024-11-18T07:07:00-05:00,416.6,416.6,416.6,416.6,416.6,178
2024-11-18T07:10:00-05:00,416.56,416.56,416.13,416.13,416.13,708
2024-11-18T07:12:00-05:00,416.41,416.41,416.41,416.41,416.41,225
2024-11-18T07:13:00-05:00,416.42,416.42,416.42,416.42,416.42,476
2024-11-18T07:15:00-05:00,416.5,416.5,416.5,416.5,416.5,862
2024-11-18T07:16:00-05:00,416.5,416.5,416.5,416.5,416.5,531
