Datetime,Open,High,Low,Close,Adj Close,Volume
2025-10-02T04:00:00-04:00,345,345,343.69,344.47,344.47,8109
2025-10-02T04:01:00-04:00,344.5,344.5,344.2,344.2,344.2,1546
2025-10-02T04:02:00-04:00,344.3,344.74,343.72,344.73,344.73,6420
2025-10-02T04:03:00-04:00,344.72,345.24,344.72,345.24,345.24,3343
2025-10-02T04:04:00-04:00,345.32,345.32,345.22,345.22,345.22,1484
2025-10-02T04:05:00-04:00,344.96,344.96,344.96,344.96,344.96,668
2025-10-02T04:06:00-04:00,344.5,344.5,344.5,344.5,344.5,998
2025-10-02T04:08:00-04:00,344.56,344.56,344.2,344.2,344.2,1541
2025-10-02T04:09:00-04:00,345,345,345,345,345,1087
2025-10-02T04:11:00-04:00,344.83,344.83,344.46,344.46,344.46,1669
2025-10-02T04:13:00-04:00,344.68,344.68,344.68,344.68,344.68,312
2025-10-02T04:14:00-04:00,344.82,344.82,344.54,344.54,344.54,707
2025-10-02T04:15:00-04:00,344.46,344.55,344.46,344.55,344.55,444
2025-10-02T04:17:00-04:00,344.67,344.67,344.65,344.65,344.65,428
2025-10-02T04:20:00-04:00,344.65,344.66,344.3,344.32,344.32,2018
2025-10-02T04:21:00-04:00,344.43,344.43,344.43,344.43,344.43,488
2025-10-02T04:23:00-04:00,344.7,345.19,344.7,345.19,345.19,1997
2025-10-02T04:28:00-04:00,345.08,345.08,345.08,345.08,345.08,714
2025-10-02T04:29:00-04:00,345.11,345.11,345.11,345.11,345.11,367
2025-10-02T04:33:00-04:00,345.2,345.2,345.2,345.2,345.2,408
2025-10-02T04:34:00-04:00,345.01,345.01,344.82,344.82,344.82,1519
2025-10-02T04:38:00-04:00,345,345,344.78,344.78,344.78,1751
2025-10-02T04:42:00-04:00,344.79,345.1,344.79,345.1,345.1,3177
2025-10-02T04:43:00-04:00,345.1,345.1,345.03,345.03,345.03,1051
2025-10-02T04:45:00-04:00,345.15,345.15,344.85,344.85,344.85,1307
2025-10-02T04:48:00-04:00,345.32,345.32,345.3,345.3,345.3,2641
2025-10-02T04:54:00-04:00,345.58,345.58,345.5,345.5,345.5,747
2025-10-02T05:00:00-04:00,345.51,345.51,345.51,345.51,345.51,454
2025-10-02T05:02:00-04:00,345.37,345.37,345.36,345.36,345.36,726
2025-10-02T05:03:00-04:00,345.28,345.4,345.28,345.4,345.4,1517
2025-10-02T05:04:00-04:00,345.28,345.28,345.26,345.26,345.26,460
2025-10-02T05:05:00-04:00,345.16,345.16,345.16,345.16,345.16,157
2025-10-02T05:08:00-04:00,345,345,345,345,345,1107
2025-10-02T05:09:00-04:00,345.21,345.26,345.21,345.26,345.26,409
