Datetime,Open,High,Low,Close,Adj Close,Volume
2025-09-12T04:00:00-04:00,308.6,308.6,308.5,308.5,308.5,1443
2025-09-12T04:01:00-04:00,308.29,308.29,308.19,308.28,308.28,2118
2025-09-12T04:02:00-04:00,308.01,308.15,308,308.15,308.15,2643
2025-09-12T04:04:00-04:00,307.65,307.65,307.65,307.65,307.65,865
2025-09-12T04:06:00-04:00,307.37,307.37,307.37,307.37,307.37,797
2025-09-12T04:07:00-04:00,307.18,307.38,307.18,307.38,307.38,1305
2025-09-12T04:09:00-04:00,306.15,306.19,306.02,306.19,306.19,2334
2025-09-12T04:11:00-04:00,306.81,306.81,306.81,306.81,306.81,770
2025-09-12T04:12:00-04:00,306.99,307,306.9,306.9,306.9,2152
2025-09-12T04:14:00-04:00,306.81,306.99,306.81,306.99,306.99,789
2025-09-12T04:15:00-04:00,306.51,306.51,306.51,306.51,306.51,669
2025-09-12T04:16:00-04:00,306.55,306.99,306.5,306.99,306.99,1852
2025-09-12T04:18:00-04:00,306.5,306.5,306.2,306.2,306.2,1287
2025-09-12T04:20:00-04:00,306.19,306.19,306,306,306,1274
2025-09-12T04:21:00-04:00,306,306,306,306,306,716
2025-09-12T04:23:00-04:00,305.9,305.9,305.9,305.9,305.9,669
2025-09-12T04:24:00-04:00,306,306,306,306,306,448
2025-09-12T04:25:00-04:00,306.01,306.01,305.91,305.91,305.91,975
2025-09-12T04:26:00-04:00,305.8,305.8,305.8,305.8,305.8,818
2025-09-12T04:27:00-04:00,305.7,305.7,305.7,305.7,305.7,775
2025-09-12T04:28:00-04:00,305.6,305.6,305.6,305.6,305.6,1128
2025-09-12T04:31:00-04:00,306,306,306,306,306,506
2025-09-12T04:33:00-04:00,306.14,306.14,306,306.14,306.14,2111
2025-09-12T04:35:00-04:00,305.71,305.71,305.62,305.71,305.71,957
2025-09-12T04:37:00-04:00,305.3,305.5,305.3,305.5,305.5,2039
2025-09-12T04:39:00-04:00,305.2,305.2,304.76,304.76,304.76,4599
2025-09-12T04:40:00-04:00,304.76,304.76,304.76,304.76,304.76,1781
2025-09-12T04:41:00-04:00,304.83,304.83,304.83,304.83,304.83,185
2025-09-12T04:42:00-04:00,305,305.03,304.99,305.03,305.03,1610
2025-09-12T04:43:00-04:00,305.23,305.23,305.23,305.23,305.23,1253
2025-09-12T04:44:00-04:00,304.5,304.5,303.99,303.99,303.99,3187
2025-09-12T04:45:00-04:00,303.92,304.5,303.9,304.01,304.01,3401
2025-09-12T04:46:00-04:00,304,304,303.76,303.76,303.76,2819
2025-09-12T04:47:00-04:00,303.84,303.84,303.5,303.5,303.5,3916
2025-09-12T04:48:00-04:00,303.25,303.25,303,303.09,303.09,2736
2025-09-12T04:49:00-04:00,303,303,302.7,302.7,302.7,4435
2025-09-12T04:50:00-04:00,303,303.78,303,303.78,303.78,6958
2025-09-12T04:51:00-04:00,303.84,304,303.69,304,304,4643
2025-09-12T04:52:00-04:00,303.98,303.98,303.6,303.6,303.6,1326
2025-09-12T04:54:00-04:00,304.4,304.96,304,304,304,4003
2025-09-12T04:55:00-04:00,303.69,304.78,303.69,304.78,304.78,4297
2025-09-12T04:56:00-04:00,304.48,304.48,304.31,304.31,304.31,830
2025-09-12T04:57:00-04:00,304.82,304.82,304.82,304.82,304.82,532
2025-09-12T04:58:00-04:00,304.89,305.12,304.89,305.12,305.12,1909
2025-09-12T04:59:00-04:00,305.15,305.21,305.11,305.11,305.11,1280
2025-09-12T05:00:00-04:00,305.16,305.16,305,305,305,1651
2025-09-12T05:01:00-04:00,305,305,305,305,305,519
2025-09-12T05:02:00-04:00,304.93,304.93,304.82,304.82,304.82,1448
2025-09-12T05:03:00-04:00,304.48,304.56,304.48,304.56,304.56,1319
2025-09-12T05:04:00-04:00,304.48,304.56,304.48,304.56,304.56,1535
2025-09-12T05:09:00-04:00,305,305.08,305,305.08,305.08,2381
2025-09-12T05:12:00-04:00,305.37,305.37,305.36,305.36,305.36,1076
2025-09-12T05:14:00-04:00,305.4,305.4,305.4,305.4,305.4,949
2025-09-12T05:16:00-04:00,305.48,305.6,305.48,305.6,305.6,1342
2025-09-12T05:18:00-04:00,305.49,305.49,305.49,305.49,305.49,736
2025-09-12T05:20:00-04:00,305.66,305.66,305.66,305.66,305.66,443
2025-09-12T05:21:00-04:00,305.8,305.8,305.5,305.5,305.5,1964
2025-09-12T05:22:00-04:00,305.3,305.3,305.2,305.2,305.2,841
2025-09-12T05:23:00-04:00,305,305,305,305,305,1608
2025-09-12T05:26:00-04:00,305.39,305.7,305.39,305.7,305.7,1406
2025-09-12T05:27:00-04:00,305.51,305.51,305.51,305.51,305.51,312
2025-09-12T05:29:00-04:00,305.43,305.43,305.43,305.43,305.43,534
2025-09-12T05:30:00-04:00,305.55,305.55,305.55,305.55,305.55,334
2025-09-12T05:32:00-04:00,305.8,305.8,305.8,305.8,305.8,645
2025-09-12T05:33:00-04:00,305.89,306,305.89,306,306,2050
2025-09-12T05:34:00-04:00,306.09,306.09,306.09,306.09,306.09,785
2025-09-12T05:35:00-04:00,305.89,305.89,305.88,305.88,305.88,1172
2025-09-12T05:37:00-04:00,305.88,305.88,305.87,305.88,305.88,808
2025-09-12T05:41:00-04:00,305.88,305.88,305.88,305.88,305.88,699
2025-09-12T05:42:00-04:00,305.88,305.88,305.88,305.88,305.88,112
2025-09-12T05:49:00-04:00,306.16,306.16,306.16,306.16,306.16,840
2025-09-12T05:51:00-04:00,306.5,306.5,306.5,306.5,306.5,641
2025-09-12T05:52:00-04:00,306.54,306.54,306.54,306.54,306.54,242
2025-09-12T05:57:00-04:00,306.3,306.3,306.3,306.3,306.3,624
2025-09-12T05:59:00-04:00,306.3,306.3,306.3,306.3,306.3,383
2025-09-12T06:00:00-04:00,306.3,306.3,306,306,306,2268
2025-09-12T06:01:00-04:00,306,306,306,306,306,1030
2025-09-12T06:03:00-04:00,306.08,306.08,306.08,306.08,306.08,753
2025-09-12T06:05:00-04:00,306.28,306.28,306.28,306.28,306.28,1115
2025-09-12T06:06:00-04:00,306.3,306.32,306.3,306.32,306.32,1046
2025-09-12T06:07:00-04:00,306.25,306.25,306,306,306,1777
2025-09-12T06:08:00-04:00,305.87,305.88,305.87,305.87,305.87,1080
2025-09-12T06:09:00-04:00,305.88,305.88,305.88,305.88,305.88,435
2025-09-12T06:14:00-04:00,305.87,305.87,305.87,305.87,305.87,1480
2025-09-12T06:16:00-04:00,305.87,305.87,305.87,305.87,305.87,646
2025-09-12T06:27:00-04:00,305.84,305.84,305.84,305.84,305.84,348
2025-09-12T06:28:00-04:00,305.8,305.8,305.8,305.8,305.8,292
2025-09-12T06:31:00-04:00,305.6,305.8,305.6,305.8,305.8,1689
2025-09-12T06:32:00-04:00,305.8,305.8,305.8,305.8,305.8,580
2025-09-12T06:33:00-04:00,305.62,305.62,305.6,305.62,305.62,825
2025-09-12T06:35:00-04:00,305.87,305.88,305.86,305.88,305.88,3831
2025-09-12T06:36:00-04:00,305.87,305.87,305.87,305.87,305.87,1249
2025-09-12T06:39:00-04:00,305.75,305.75,305.7,305.7,305.7,1681
2025-09-12T06:40:00-04:00,305.75,305.75,305.75,305.75,305.75,248
2025-09-12T06:41:00-04:00,305.75,305.75,305.75,305.75,305.75,312
2025-09-12T06:42:00-04:00,305.75,305.75,305.75,305.75,305.75,259
2025-09-12T06:43:00-04:00,305.75,305.75,305.75,305.75,305.75,478
2025-09-12T06:44:00-04:00,305.75,305.75,305.75,305.75,305.75,715
2025-09-12T06:45:00-04:00,305.75,305.75,305.75,305.75,305.75,990
2025-09-12T06:46:00-04:00,305.75,305.75,305.75,305.75,305.75,445
2025-09-12T06:47:00-04:00,305.75,305.75,305.75,305.75,305.75,552
2025-09-12T06:49:00-04:00,305.6,305.6,305.6,305.6,305.6,1652
2025-09-12T06:54:00-04:00,305.21,305.21,305.21,305.21,305.21,616
2025-09-12T06:56:00-04:00,305.3,305.3,305.3,305.3,305.3,508
2025-09-12T06:58:00-04:00,305.2,305.2,305.2,305.2,305.2,1367
2025-09-12T07:00:00-04:00,305.2,305.2,305,305.02,305.02,3293
2025-09-12T07:01:00-04:00,305.05,305.2,305.05,305.2,305.2,1511
2025-09-12T07:02:00-04:00,305.2,305.2,304.86,304.86,304.86,7112
2025-09-12T07:03:00-04:00,304.88,304.88,304.88,304.88,304.88,1090
2025-09-12T07:04:00-04:00,304.87,304.87,304.6,304.7,304.7,2885
2025-09-12T07:05:00-04:00,304.56,304.66,304.56,304.66,304.66,1429
2025-09-12T07:06:00-04:00,304.52,304.52,304.5,304.5,304.5,2098
2025-09-12T07:07:00-04:00,304.49,304.7,304.49,304.7,304.7,2094
2025-09-12T07:08:00-04:00,304.49,304.49,304.49,304.49,304.49,1406
2025-09-12T07:09:00-04:00,304.19,304.2,304.11,304.11,304.11,1497
2025-09-12T07:10:00-04:00,304.08,304.08,303.65,303.77,303.77,5117
2025-09-12T07:11:00-04:00,304,304,304,304,304,821
2025-09-12T07:12:00-04:00,303.8,304,303.53,303.84,303.84,3400
2025-09-12T07:13:00-04:00,304,304,304,304,304,1330
2025-09-12T07:14:00-04:00,304,304.1,304,304.1,304.1,828
2025-09-12T07:15:00-04:00,304.2,304.2,304.15,304.15,304.15,2878
2025-09-12T07:16:00-04:00,304,304,303.97,304,304,2242
2025-09-12T07:17:00-04:00,303.9,303.9,303.82,303.82,303.82,1110
2025-09-12T07:18:00-04:00,303.8,303.8,303.78,303.8,303.8,2076
2025-09-12T07:19:00-04:00,304,304,303.92,303.92,303.92,1016
2025-09-12T07:20:00-04:00,303.88,303.88,303.88,303.88,303.88,592
2025-09-12T07:21:00-04:00,303.99,304.15,303.99,304.15,304.15,3921
2025-09-12T07:22:00-04:00,304.12,304.25,304.12,304.25,304.25,3549
2025-09-12T07:23:00-04:00,304.25,304.25,304.25,304.25,304.25,692
2025-09-12T07:24:00-04:00,304.18,304.25,304.18,304.25,304.25,1583
2025-09-12T07:25:00-04:00,304.71,304.8,304.71,304.8,304.8,678
2025-09-12T07:26:00-04:00,304.85,304.85,304.85,304.85,304.85,613
2025-09-12T07:27:00-04:00,304.96,304.96,304.96,304.96,304.96,706
2025-09-12T07:28:00-04:00,304.8,304.8,304.8,304.8,304.8,2259
2025-09-12T07:30:00-04:00,304.75,304.82,304.75,304.82,304.82,3144
2025-09-12T07:32:00-04:00,304.99,304.99,304.89,304.98,304.98,1764
2025-09-12T07:33:00-04:00,304.98,304.98,304.85,304.85,304.85,4291
2025-09-12T07:34:00-04:00,304.73,304.9,304.73,304.9,304.9,1028
2025-09-12T07:35:00-04:00,304.87,304.9,304.87,304.89,304.89,1734
