Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-07T04:00:00-04:00,23.7,23.76,23.66,23.66,23.66,5288
2024-06-07T04:01:00-04:00,23.69,23.69,23.63,23.66,23.66,2722
2024-06-07T04:02:00-04:00,23.65,23.69,23.65,23.69,23.69,6282
2024-06-07T04:03:00-04:00,23.69,23.73,23.69,23.73,23.73,2777
2024-06-07T04:04:00-04:00,23.7,23.7,23.7,23.7,23.7,624
2024-06-07T04:05:00-04:00,23.73,23.73,23.73,23.73,23.73,256
2024-06-07T04:06:00-04:00,23.7,23.7,23.68,23.68,23.68,1409
2024-06-07T04:08:00-04:00,23.7,23.7,23.68,23.68,23.68,457
2024-06-07T04:13:00-04:00,23.7,23.7,23.7,23.7,23.7,1360
2024-06-07T04:14:00-04:00,23.7,23.7,23.7,23.7,23.7,1576
2024-06-07T04:15:00-04:00,23.72,23.72,23.65,23.65,23.65,6727
2024-06-07T04:16:00-04:00,23.65,23.65,23.65,23.65,23.65,1233
2024-06-07T04:17:00-04:00,23.65,23.65,23.65,23.65,23.65,600
2024-06-07T04:18:00-04:00,23.64,23.68,23.64,23.68,23.68,1652
2024-06-07T04:22:00-04:00,23.65,23.7,23.65,23.67,23.67,1994
2024-06-07T04:23:00-04:00,23.67,23.67,23.67,23.67,23.67,1208
2024-06-07T04:24:00-04:00,23.67,23.67,23.67,23.67,23.67,436
2024-06-07T04:29:00-04:00,23.69,23.69,23.69,23.69,23.69,424
2024-06-07T04:30:00-04:00,23.67,23.67,23.67,23.67,23.67,1633
2024-06-07T04:32:00-04:00,23.67,23.67,23.65,23.65,23.65,1623
2024-06-07T04:33:00-04:00,23.65,23.65,23.64,23.64,23.64,4909
2024-06-07T04:34:00-04:00,23.66,23.66,23.66,23.66,23.66,608
2024-06-07T04:36:00-04:00,23.65,23.65,23.65,23.65,23.65,607
2024-06-07T04:37:00-04:00,23.65,23.65,23.65,23.65,23.65,582
2024-06-07T04:40:00-04:00,23.66,23.66,23.66,23.66,23.66,1399
2024-06-07T04:45:00-04:00,23.65,23.65,23.65,23.65,23.65,1320
2024-06-07T04:47:00-04:00,23.67,23.67,23.67,23.67,23.67,504
2024-06-07T04:48:00-04:00,23.68,23.68,23.68,23.68,23.68,688
2024-06-07T04:50:00-04:00,23.66,23.7,23.66,23.7,23.7,5412
2024-06-07T04:51:00-04:00,23.7,23.7,23.7,23.7,23.7,514
2024-06-07T04:55:00-04:00,23.68,23.68,23.68,23.68,23.68,284
2024-06-07T04:58:00-04:00,23.66,23.66,23.66,23.66,23.66,1065
2024-06-07T05:01:00-04:00,23.67,23.67,23.67,23.67,23.67,344
2024-06-07T05:13:00-04:00,23.68,23.68,23.68,23.68,23.68,576
2024-06-07T05:17:00-04:00,23.66,23.66,23.66,23.66,23.66,150
2024-06-07T05:18:00-04:00,23.67,23.67,23.67,23.67,23.67,410
2024-06-07T05:19:00-04:00,23.67,23.67,23.67,23.67,23.67,141
2024-06-07T05:20:00-04:00,23.67,23.67,23.67,23.67,23.67,156
2024-06-07T05:22:00-04:00,23.66,23.66,23.66,23.66,23.66,402
2024-06-07T05:23:00-04:00,23.66,23.66,23.64,23.64,23.64,1742
2024-06-07T05:24:00-04:00,23.66,23.66,23.66,23.66,23.66,142
2024-06-07T05:25:00-04:00,23.64,23.64,23.64,23.64,23.64,303
2024-06-07T05:27:00-04:00,23.67,23.67,23.67,23.67,23.67,209
