Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-25T04:00:00-05:00,426.12,426.19,425.8,426.19,426.19,1225
2024-01-25T04:01:00-05:00,426.19,426.27,426.19,426.27,426.27,1093
2024-01-25T04:02:00-05:00,426.32,426.35,426.32,426.35,426.35,2191
2024-01-25T04:03:00-05:00,426.4,426.4,426.32,426.32,426.32,735
2024-01-25T04:04:00-05:00,426.26,426.27,426.22,426.22,426.22,2240
2024-01-25T04:05:00-05:00,426.19,426.19,426.11,426.11,426.11,889
2024-01-25T04:06:00-05:00,426.08,426.08,426.08,426.08,426.08,717
2024-01-25T04:07:00-05:00,426.12,426.12,426.03,426.03,426.03,1151
2024-01-25T04:08:00-05:00,425.92,425.92,425.92,425.92,425.92,199
2024-01-25T04:09:00-05:00,425.92,426.04,425.92,426.04,426.04,1402
2024-01-25T04:10:00-05:00,426,426.09,426,426.09,426.09,2959
2024-01-25T04:12:00-05:00,426.01,426.09,426.01,426.09,426.09,1010
2024-01-25T04:13:00-05:00,426.02,426.02,426.02,426.02,426.02,250
2024-01-25T04:14:00-05:00,426.02,426.02,425.96,425.96,425.96,1331
2024-01-25T04:15:00-05:00,425.91,425.93,425.91,425.93,425.93,726
2024-01-25T04:16:00-05:00,425.96,425.96,425.96,425.96,425.96,1154
2024-01-25T04:17:00-05:00,425.94,426.08,425.94,426.08,426.08,577
2024-01-25T04:18:00-05:00,426.07,426.09,426.01,426.01,426.01,3100
2024-01-25T04:19:00-05:00,425.95,425.95,425.9,425.9,425.9,827
2024-01-25T04:20:00-05:00,425.89,425.99,425.89,425.99,425.99,1700
2024-01-25T04:23:00-05:00,425.99,426.11,425.99,426.09,426.09,701
2024-01-25T04:24:00-05:00,425.99,426.01,425.99,426.01,426.01,403
2024-01-25T04:25:00-05:00,425.95,425.95,425.95,425.95,425.95,601
2024-01-25T04:27:00-05:00,425.96,426.01,425.96,426.01,426.01,732
2024-01-25T04:30:00-05:00,426.04,426.12,426.04,426.12,426.12,594
2024-01-25T04:31:00-05:00,426.15,426.17,426.14,426.14,426.14,2059
2024-01-25T04:32:00-05:00,426.21,426.21,426.21,426.21,426.21,248
2024-01-25T04:33:00-05:00,426.07,426.07,426.07,426.07,426.07,505
2024-01-25T04:34:00-05:00,426.08,426.09,426.08,426.09,426.09,314
2024-01-25T04:36:00-05:00,426.16,426.16,426.16,426.16,426.16,100
2024-01-25T04:37:00-05:00,426.13,426.16,426.13,426.16,426.16,661
2024-01-25T04:38:00-05:00,426.08,426.08,426.06,426.06,426.06,807
2024-01-25T04:39:00-05:00,426.09,426.1,426.09,426.1,426.1,1900
2024-01-25T04:40:00-05:00,426.07,426.07,426.07,426.07,426.07,100
2024-01-25T04:42:00-05:00,426.08,426.09,426.08,426.09,426.09,420
2024-01-25T04:43:00-05:00,426.11,426.15,426.11,426.15,426.15,701
2024-01-25T04:45:00-05:00,426.13,426.13,426.09,426.09,426.09,1824
2024-01-25T04:46:00-05:00,426.2,426.2,426.2,426.2,426.2,345
2024-01-25T04:47:00-05:00,426.22,426.22,426.15,426.15,426.15,1143
2024-01-25T04:48:00-05:00,426.18,426.21,426.17,426.2,426.2,1560
2024-01-25T04:49:00-05:00,426.2,426.2,426.18,426.19,426.19,601
2024-01-25T04:51:00-05:00,426.17,426.17,426.17,426.17,426.17,500
2024-01-25T04:53:00-05:00,426.3,426.3,426.3,426.3,426.3,229
2024-01-25T04:54:00-05:00,426.28,426.29,426.25,426.29,426.29,20240
2024-01-25T04:55:00-05:00,426.33,426.33,426.33,426.33,426.33,508
2024-01-25T04:56:00-05:00,426.35,426.35,426.35,426.35,426.35,231
2024-01-25T04:58:00-05:00,426.38,426.38,426.29,426.29,426.29,450
2024-01-25T04:59:00-05:00,426.27,426.27,426.27,426.27,426.27,422
2024-01-25T05:00:00-05:00,426.08,426.08,426.08,426.08,426.08,402
2024-01-25T05:01:00-05:00,426.1,426.1,425.96,425.96,425.96,1890
2024-01-25T05:03:00-05:00,425.93,425.95,425.93,425.95,425.95,595
2024-01-25T05:05:00-05:00,425.89,425.9,425.89,425.9,425.9,362
2024-01-25T05:06:00-05:00,425.9,425.93,425.9,425.93,425.93,312
2024-01-25T05:07:00-05:00,425.83,425.83,425.8,425.8,425.8,234
2024-01-25T05:09:00-05:00,425.86,425.86,425.86,425.86,425.86,656
2024-01-25T05:11:00-05:00,425.85,425.85,425.85,425.85,425.85,101
2024-01-25T05:12:00-05:00,425.95,425.95,425.95,425.95,425.95,1119
2024-01-25T05:13:00-05:00,425.88,425.88,425.85,425.85,425.85,526
2024-01-25T05:14:00-05:00,426,426,426,426,426,138
2024-01-25T05:16:00-05:00,426.03,426.06,426.03,426.06,426.06,1516
2024-01-25T05:17:00-05:00,425.98,425.98,425.98,425.98,425.98,1002
2024-01-25T05:20:00-05:00,425.91,425.91,425.91,425.91,425.91,580
2024-01-25T05:21:00-05:00,425.96,425.96,425.96,425.96,425.96,200
2024-01-25T05:22:00-05:00,425.96,425.96,425.96,425.96,425.96,454
2024-01-25T05:23:00-05:00,425.95,425.99,425.95,425.99,425.99,1450
2024-01-25T05:24:00-05:00,426.03,426.03,426.03,426.03,426.03,205
2024-01-25T05:25:00-05:00,426.01,426.03,425.97,425.97,425.97,2806
2024-01-25T05:26:00-05:00,426,426.01,425.98,425.98,425.98,1880
2024-01-25T05:27:00-05:00,426.01,426.01,426.01,426.01,426.01,594
2024-01-25T05:28:00-05:00,426.02,426.02,425.97,425.97,425.97,320
2024-01-25T05:29:00-05:00,425.86,425.86,425.86,425.86,425.86,214
2024-01-25T05:30:00-05:00,425.88,425.88,425.83,425.83,425.83,4619
2024-01-25T05:31:00-05:00,425.8,425.8,425.79,425.79,425.79,485
2024-01-25T05:32:00-05:00,425.75,425.75,425.75,425.75,425.75,238
2024-01-25T05:33:00-05:00,425.72,425.72,425.72,425.72,425.72,154
2024-01-25T05:34:00-05:00,425.7,425.7,425.7,425.7,425.7,206
2024-01-25T05:35:00-05:00,425.82,425.82,425.82,425.82,425.82,922
2024-01-25T05:36:00-05:00,425.85,425.88,425.85,425.88,425.88,3622
2024-01-25T05:37:00-05:00,425.93,425.93,425.93,425.93,425.93,172
2024-01-25T05:38:00-05:00,425.95,425.95,425.95,425.95,425.95,1000
2024-01-25T05:41:00-05:00,425.84,425.84,425.84,425.84,425.84,233
2024-01-25T05:45:00-05:00,425.95,425.95,425.95,425.95,425.95,186
2024-01-25T05:47:00-05:00,425.83,425.85,425.83,425.85,425.85,388
2024-01-25T05:50:00-05:00,425.84,425.84,425.84,425.84,425.84,258
2024-01-25T05:51:00-05:00,425.81,425.81,425.81,425.81,425.81,763
2024-01-25T05:54:00-05:00,425.76,425.76,425.76,425.76,425.76,220
2024-01-25T06:00:00-05:00,425.92,425.94,425.92,425.94,425.94,217
2024-01-25T06:01:00-05:00,425.86,425.86,425.86,425.86,425.86,123
2024-01-25T06:05:00-05:00,425.71,425.71,425.71,425.71,425.71,123
2024-01-25T06:15:00-05:00,425.77,425.79,425.77,425.78,425.78,1294
2024-01-25T06:18:00-05:00,425.79,425.79,425.79,425.79,425.79,500
2024-01-25T06:19:00-05:00,425.82,425.82,425.82,425.82,425.82,204
2024-01-25T06:20:00-05:00,425.82,425.89,425.82,425.85,425.85,477
2024-01-25T06:21:00-05:00,425.87,425.87,425.87,425.87,425.87,250
2024-01-25T06:24:00-05:00,425.96,425.99,425.96,425.99,425.99,1076
2024-01-25T06:25:00-05:00,425.96,425.96,425.91,425.91,425.91,829
2024-01-25T06:26:00-05:00,425.93,425.93,425.88,425.88,425.88,10036
2024-01-25T06:27:00-05:00,425.86,425.9,425.86,425.9,425.9,3084
2024-01-25T06:28:00-05:00,425.92,425.92,425.92,425.92,425.92,201
2024-01-25T06:29:00-05:00,425.84,425.87,425.84,425.87,425.87,600
2024-01-25T06:30:00-05:00,425.89,425.95,425.89,425.95,425.95,3723
2024-01-25T06:32:00-05:00,425.85,425.85,425.79,425.84,425.84,3896
2024-01-25T06:33:00-05:00,425.98,426,425.98,426,426,1234
2024-01-25T06:34:00-05:00,426.08,426.08,426.01,426.02,426.02,2969
2024-01-25T06:35:00-05:00,425.97,426.16,425.95,426.04,426.04,5210
2024-01-25T06:36:00-05:00,426.21,426.22,426.14,426.14,426.14,4964
2024-01-25T06:37:00-05:00,426.22,426.37,426.22,426.37,426.37,2522
2024-01-25T06:38:00-05:00,426.32,426.33,426.26,426.26,426.26,2948
2024-01-25T06:39:00-05:00,426.17,426.22,426.15,426.22,426.22,2346
2024-01-25T06:40:00-05:00,426.31,426.34,426.31,426.34,426.34,402
2024-01-25T06:41:00-05:00,426.31,426.31,426.31,426.31,426.31,163
2024-01-25T06:42:00-05:00,426.3,426.3,426.27,426.27,426.27,670
2024-01-25T06:43:00-05:00,426.23,426.23,426.23,426.23,426.23,201
2024-01-25T06:44:00-05:00,426.15,426.15,426.14,426.15,426.15,1925
2024-01-25T06:45:00-05:00,426.15,426.15,426.15,426.15,426.15,228
2024-01-25T06:46:00-05:00,426.32,426.32,426.32,426.32,426.32,302
2024-01-25T06:47:00-05:00,426.34,426.39,426.32,426.35,426.35,2002
2024-01-25T06:48:00-05:00,426.36,426.36,426.35,426.35,426.35,3681
2024-01-25T06:50:00-05:00,426.37,426.42,426.36,426.42,426.42,1758
2024-01-25T06:51:00-05:00,426.42,426.42,426.42,426.42,426.42,702
2024-01-25T06:52:00-05:00,426.44,426.46,426.44,426.46,426.46,1380
2024-01-25T06:53:00-05:00,426.44,426.44,426.44,426.44,426.44,591
2024-01-25T06:54:00-05:00,426.43,426.47,426.43,426.47,426.47,1330
2024-01-25T06:55:00-05:00,426.47,426.5,426.47,426.47,426.47,3547
2024-01-25T06:57:00-05:00,426.48,426.49,426.47,426.49,426.49,2615
2024-01-25T06:58:00-05:00,426.49,426.49,426.49,426.49,426.49,2862
2024-01-25T06:59:00-05:00,426.57,426.58,426.57,426.58,426.58,2007
2024-01-25T07:00:00-05:00,426.53,426.79,426.53,426.68,426.68,17071
2024-01-25T07:01:00-05:00,426.69,426.74,426.69,426.71,426.71,2733
2024-01-25T07:02:00-05:00,426.7,426.7,426.59,426.6,426.6,2460
2024-01-25T07:03:00-05:00,426.66,426.71,426.66,426.71,426.71,2127
2024-01-25T07:04:00-05:00,426.71,426.8,426.71,426.8,426.8,3457
2024-01-25T07:05:00-05:00,426.78,426.91,426.78,426.91,426.91,6342
2024-01-25T07:06:00-05:00,426.88,426.94,426.88,426.94,426.94,2453
2024-01-25T07:07:00-05:00,426.95,426.97,426.92,426.92,426.92,3271
2024-01-25T07:08:00-05:00,426.85,426.85,426.85,426.85,426.85,504
2024-01-25T07:09:00-05:00,426.85,426.85,426.83,426.83,426.83,2553
2024-01-25T07:10:00-05:00,426.86,426.86,426.83,426.84,426.84,1617
2024-01-25T07:11:00-05:00,426.78,426.84,426.78,426.84,426.84,9680
2024-01-25T07:12:00-05:00,426.84,426.84,426.72,426.72,426.72,2766
2024-01-25T07:13:00-05:00,426.72,426.725,426.69,426.69,426.69,1417
2024-01-25T07:14:00-05:00,426.69,426.69,426.66,426.66,426.66,1039
