Datetime,Open,High,Low,Close,Adj Close,Volume
2025-08-01T04:00:00-04:00,12.83,12.83,12.77,12.77,12.77,3248
2025-08-01T04:03:00-04:00,12.77,12.77,12.77,12.77,12.77,116
2025-08-01T04:04:00-04:00,12.77,12.77,12.75,12.75,12.75,1962
2025-08-01T04:05:00-04:00,12.75,12.75,12.75,12.75,12.75,113
2025-08-01T04:06:00-04:00,12.75,12.75,12.75,12.75,12.75,1746
2025-08-01T04:07:00-04:00,12.74,12.74,12.72,12.73,12.73,7915
2025-08-01T04:08:00-04:00,12.71,12.72,12.71,12.72,12.72,2621
2025-08-01T04:10:00-04:00,12.72,12.72,12.72,12.72,12.72,1513
2025-08-01T04:11:00-04:00,12.71,12.71,12.71,12.71,12.71,1988
2025-08-01T04:13:00-04:00,12.71,12.71,12.71,12.71,12.71,2304
2025-08-01T04:14:00-04:00,12.71,12.71,12.71,12.71,12.71,264
2025-08-01T04:17:00-04:00,12.71,12.71,12.7,12.7,12.7,5997
2025-08-01T04:18:00-04:00,12.7,12.7,12.7,12.7,12.7,3087
2025-08-01T04:21:00-04:00,12.69,12.69,12.69,12.69,12.69,1652
2025-08-01T04:22:00-04:00,12.68,12.68,12.68,12.68,12.68,133
2025-08-01T04:26:00-04:00,12.67,12.67,12.67,12.67,12.67,1042
2025-08-01T04:30:00-04:00,12.64,12.64,12.64,12.64,12.64,500
2025-08-01T04:31:00-04:00,12.64,12.64,12.64,12.64,12.64,220
2025-08-01T04:32:00-04:00,12.64,12.64,12.64,12.64,12.64,1336
2025-08-01T04:33:00-04:00,12.63,12.63,12.63,12.63,12.63,1681
2025-08-01T04:35:00-04:00,12.6,12.62,12.6,12.62,12.62,3571
2025-08-01T04:36:00-04:00,12.63,12.65,12.63,12.65,12.65,2704
2025-08-01T04:39:00-04:00,12.64,12.64,12.6,12.6,12.6,3735
2025-08-01T04:41:00-04:00,12.61,12.61,12.61,12.61,12.61,591
2025-08-01T04:43:00-04:00,12.62,12.62,12.62,12.62,12.62,351
2025-08-01T04:44:00-04:00,12.62,12.62,12.62,12.62,12.62,1436
2025-08-01T04:45:00-04:00,12.62,12.62,12.62,12.62,12.62,1707
2025-08-01T04:46:00-04:00,12.63,12.64,12.63,12.64,12.64,865
2025-08-01T04:47:00-04:00,12.64,12.64,12.64,12.64,12.64,1199
2025-08-01T04:48:00-04:00,12.65,12.65,12.65,12.65,12.65,645
2025-08-01T04:54:00-04:00,12.65,12.65,12.65,12.65,12.65,1632
2025-08-01T04:55:00-04:00,12.64,12.64,12.64,12.64,12.64,100
2025-08-01T04:58:00-04:00,12.65,12.65,12.65,12.65,12.65,163
