Datetime,Open,High,Low,Close,Adj Close,Volume
2025-07-28T04:00:00-04:00,21.42,21.51,21.33,21.4,21.4,5057
2025-07-28T04:01:00-04:00,21.37,21.43,21.37,21.42,21.42,4656
2025-07-28T04:02:00-04:00,21.41,21.41,21.4,21.41,21.41,1711
2025-07-28T04:04:00-04:00,21.41,21.41,21.4,21.41,21.41,783
2025-07-28T04:05:00-04:00,21.41,21.41,21.41,21.41,21.41,1004
2025-07-28T04:06:00-04:00,21.41,21.42,21.41,21.41,21.41,2425
2025-07-28T04:07:00-04:00,21.4,21.4,21.37,21.37,21.37,10298
2025-07-28T04:08:00-04:00,21.37,21.37,21.37,21.37,21.37,3138
2025-07-28T04:09:00-04:00,21.39,21.4,21.38,21.38,21.38,1266
2025-07-28T04:13:00-04:00,21.36,21.36,21.36,21.36,21.36,312
2025-07-28T04:14:00-04:00,21.36,21.36,21.36,21.36,21.36,103
2025-07-28T04:16:00-04:00,21.37,21.38,21.37,21.38,21.38,2371
2025-07-28T04:18:00-04:00,21.38,21.38,21.38,21.38,21.38,786
2025-07-28T04:20:00-04:00,21.39,21.39,21.38,21.38,21.38,205
2025-07-28T04:21:00-04:00,21.38,21.38,21.36,21.36,21.36,2208
2025-07-28T04:24:00-04:00,21.36,21.36,21.35,21.35,21.35,6381
2025-07-28T04:25:00-04:00,21.35,21.35,21.35,21.35,21.35,238
2025-07-28T04:28:00-04:00,21.33,21.33,21.33,21.33,21.33,1093
2025-07-28T04:29:00-04:00,21.36,21.36,21.36,21.36,21.36,396
2025-07-28T04:31:00-04:00,21.35,21.35,21.34,21.34,21.34,766
2025-07-28T04:32:00-04:00,21.33,21.35,21.33,21.35,21.35,717
2025-07-28T04:33:00-04:00,21.35,21.37,21.35,21.37,21.37,7429
2025-07-28T04:34:00-04:00,21.36,21.37,21.36,21.37,21.37,516
2025-07-28T04:36:00-04:00,21.36,21.37,21.36,21.37,21.37,736
2025-07-28T04:37:00-04:00,21.36,21.36,21.36,21.36,21.36,205
2025-07-28T04:38:00-04:00,21.37,21.37,21.37,21.37,21.37,495
2025-07-28T04:39:00-04:00,21.37,21.4,21.35,21.37,21.37,10656
2025-07-28T04:40:00-04:00,21.39,21.4,21.39,21.39,21.39,1643
2025-07-28T04:41:00-04:00,21.39,21.39,21.38,21.38,21.38,2409
2025-07-28T04:42:00-04:00,21.4,21.41,21.39,21.41,21.41,2927
2025-07-28T04:43:00-04:00,21.4,21.42,21.4,21.42,21.42,1606
2025-07-28T04:44:00-04:00,21.42,21.42,21.39,21.39,21.39,3231
2025-07-28T04:47:00-04:00,21.39,21.39,21.38,21.38,21.38,431
2025-07-28T04:48:00-04:00,21.37,21.37,21.37,21.37,21.37,100
2025-07-28T04:51:00-04:00,21.39,21.39,21.39,21.39,21.39,180
2025-07-28T04:53:00-04:00,21.4,21.4,21.4,21.4,21.4,190
2025-07-28T04:54:00-04:00,21.4,21.4,21.4,21.4,21.4,280
2025-07-28T04:56:00-04:00,21.4,21.43,21.4,21.43,21.43,23796
2025-07-28T04:57:00-04:00,21.41,21.41,21.41,21.41,21.41,724
2025-07-28T04:59:00-04:00,21.4,21.4,21.4,21.4,21.4,429
2025-07-28T05:00:00-04:00,21.4,21.4,21.4,21.4,21.4,225
2025-07-28T05:01:00-04:00,21.39,21.39,21.39,21.39,21.39,204
2025-07-28T05:02:00-04:00,21.4,21.4,21.4,21.4,21.4,280
2025-07-28T05:03:00-04:00,21.4,21.4,21.4,21.4,21.4,485
2025-07-28T05:05:00-04:00,21.39,21.39,21.38,21.38,21.38,2310
2025-07-28T05:06:00-04:00,21.38,21.38,21.38,21.38,21.38,100
2025-07-28T05:12:00-04:00,21.38,21.38,21.38,21.38,21.38,519
2025-07-28T05:14:00-04:00,21.39,21.39,21.39,21.39,21.39,300
2025-07-28T05:15:00-04:00,21.39,21.4,21.39,21.4,21.4,3060
2025-07-28T05:16:00-04:00,21.41,21.42,21.41,21.42,21.42,2373
2025-07-28T05:17:00-04:00,21.41,21.42,21.41,21.42,21.42,8938
2025-07-28T05:18:00-04:00,21.42,21.42,21.42,21.42,21.42,242
2025-07-28T05:19:00-04:00,21.42,21.42,21.42,21.42,21.42,217
2025-07-28T05:21:00-04:00,21.42,21.42,21.42,21.42,21.42,1030
2025-07-28T05:22:00-04:00,21.43,21.43,21.43,21.43,21.43,482
2025-07-28T05:23:00-04:00,21.43,21.43,21.43,21.43,21.43,620
2025-07-28T05:24:00-04:00,21.43,21.43,21.4,21.4,21.4,2329
2025-07-28T05:26:00-04:00,21.39,21.4,21.39,21.4,21.4,468
2025-07-28T05:27:00-04:00,21.4,21.4,21.38,21.38,21.38,766
2025-07-28T05:28:00-04:00,21.41,21.41,21.4,21.41,21.41,1161
2025-07-28T05:33:00-04:00,21.4,21.4,21.4,21.4,21.4,260
2025-07-28T05:35:00-04:00,21.42,21.42,21.42,21.42,21.42,256
2025-07-28T05:36:00-04:00,21.4,21.4,21.4,21.4,21.4,660
2025-07-28T05:39:00-04:00,21.4,21.4,21.4,21.4,21.4,1469
2025-07-28T05:41:00-04:00,21.39,21.39,21.38,21.38,21.38,1432
2025-07-28T05:47:00-04:00,21.38,21.38,21.38,21.38,21.38,313
2025-07-28T05:48:00-04:00,21.38,21.38,21.38,21.38,21.38,170
2025-07-28T05:49:00-04:00,21.37,21.37,21.37,21.37,21.37,777
2025-07-28T05:54:00-04:00,21.37,21.37,21.37,21.37,21.37,279
2025-07-28T05:57:00-04:00,21.36,21.36,21.36,21.36,21.36,140
2025-07-28T05:58:00-04:00,21.36,21.36,21.36,21.36,21.36,237
2025-07-28T05:59:00-04:00,21.37,21.37,21.37,21.37,21.37,120
2025-07-28T06:00:00-04:00,21.37,21.38,21.37,21.38,21.38,1539
2025-07-28T06:01:00-04:00,21.38,21.38,21.38,21.38,21.38,258
2025-07-28T06:03:00-04:00,21.38,21.38,21.38,21.38,21.38,173
2025-07-28T06:04:00-04:00,21.37,21.37,21.37,21.37,21.37,590
2025-07-28T06:07:00-04:00,21.37,21.37,21.37,21.37,21.37,202
2025-07-28T06:08:00-04:00,21.37,21.37,21.37,21.37,21.37,150
2025-07-28T06:09:00-04:00,21.37,21.37,21.36,21.36,21.36,1242
2025-07-28T06:10:00-04:00,21.36,21.36,21.36,21.36,21.36,100
2025-07-28T06:15:00-04:00,21.35,21.35,21.35,21.35,21.35,430
2025-07-28T06:16:00-04:00,21.36,21.36,21.35,21.35,21.35,1124
2025-07-28T06:19:00-04:00,21.36,21.36,21.36,21.36,21.36,524
2025-07-28T06:20:00-04:00,21.36,21.36,21.36,21.36,21.36,1021
2025-07-28T06:23:00-04:00,21.37,21.37,21.35,21.35,21.35,470
2025-07-28T06:24:00-04:00,21.35,21.35,21.35,21.35,21.35,231
2025-07-28T06:25:00-04:00,21.35,21.35,21.35,21.35,21.35,1170
2025-07-28T06:26:00-04:00,21.35,21.35,21.35,21.35,21.35,285
2025-07-28T06:29:00-04:00,21.35,21.35,21.34,21.34,21.34,6446
2025-07-28T06:30:00-04:00,21.33,21.34,21.33,21.34,21.34,6028
2025-07-28T06:31:00-04:00,21.35,21.35,21.35,21.35,21.35,1453
2025-07-28T06:39:00-04:00,21.36,21.36,21.35,21.35,21.35,490
2025-07-28T06:40:00-04:00,21.34,21.34,21.34,21.34,21.34,1029
2025-07-28T06:41:00-04:00,21.34,21.34,21.34,21.34,21.34,255
2025-07-28T06:42:00-04:00,21.33,21.33,21.32,21.33,21.33,2274
2025-07-28T06:43:00-04:00,21.34,21.34,21.32,21.32,21.32,1951
2025-07-28T06:45:00-04:00,21.33,21.33,21.33,21.33,21.33,315
2025-07-28T06:46:00-04:00,21.32,21.32,21.32,21.32,21.32,1457
2025-07-28T06:48:00-04:00,21.32,21.32,21.32,21.32,21.32,307
2025-07-28T06:51:00-04:00,21.31,21.31,21.31,21.31,21.31,2370
2025-07-28T06:52:00-04:00,21.31,21.31,21.31,21.31,21.31,368
2025-07-28T06:53:00-04:00,21.32,21.32,21.29,21.29,21.29,8469
2025-07-28T06:54:00-04:00,21.29,21.3,21.29,21.3,21.3,3062
2025-07-28T06:55:00-04:00,21.29,21.3,21.29,21.29,21.29,1283
2025-07-28T06:56:00-04:00,21.29,21.29,21.29,21.29,21.29,215
2025-07-28T06:58:00-04:00,21.29,21.29,21.29,21.29,21.29,669
2025-07-28T06:59:00-04:00,21.3,21.3,21.3,21.3,21.3,481
2025-07-28T07:00:00-04:00,21.32,21.34,21.3,21.34,21.34,12972
2025-07-28T07:03:00-04:00,21.33,21.33,21.33,21.33,21.33,140
2025-07-28T07:09:00-04:00,21.32,21.32,21.32,21.32,21.32,500
2025-07-28T07:12:00-04:00,21.33,21.33,21.33,21.33,21.33,563
2025-07-28T07:17:00-04:00,21.32,21.32,21.32,21.32,21.32,2519
2025-07-28T07:19:00-04:00,21.3,21.3,21.28,21.28,21.28,3854
2025-07-28T07:21:00-04:00,21.3,21.3,21.3,21.3,21.3,236
2025-07-28T07:22:00-04:00,21.29,21.29,21.26,21.27,21.27,4615
2025-07-28T07:23:00-04:00,21.27,21.27,21.27,21.27,21.27,276
2025-07-28T07:24:00-04:00,21.26,21.26,21.26,21.26,21.26,569
2025-07-28T07:25:00-04:00,21.26,21.26,21.26,21.26,21.26,515
2025-07-28T07:26:00-04:00,21.26,21.26,21.26,21.26,21.26,1150
2025-07-28T07:27:00-04:00,21.27,21.27,21.27,21.27,21.27,668
2025-07-28T07:29:00-04:00,21.26,21.26,21.26,21.26,21.26,587
2025-07-28T07:32:00-04:00,21.26,21.26,21.25,21.25,21.25,2052
2025-07-28T07:33:00-04:00,21.25,21.25,21.25,21.25,21.25,713
2025-07-28T07:34:00-04:00,21.25,21.25,21.25,21.25,21.25,419
2025-07-28T07:36:00-04:00,21.25,21.26,21.25,21.26,21.26,2569
2025-07-28T07:37:00-04:00,21.26,21.26,21.26,21.26,21.26,2000
2025-07-28T07:38:00-04:00,21.27,21.27,21.27,21.27,21.27,235
2025-07-28T07:41:00-04:00,21.27,21.27,21.27,21.27,21.27,2489
2025-07-28T07:42:00-04:00,21.27,21.27,21.27,21.27,21.27,647
2025-07-28T07:44:00-04:00,21.27,21.27,21.25,21.25,21.25,6997
2025-07-28T07:45:00-04:00,21.269,21.27,21.269,21.27,21.27,788
2025-07-28T07:46:00-04:00,21.26,21.27,21.26,21.27,21.27,487
2025-07-28T07:47:00-04:00,21.28,21.28,21.28,21.28,21.28,200
2025-07-28T07:49:00-04:00,21.28,21.28,21.28,21.28,21.28,1281
2025-07-28T07:51:00-04:00,21.28,21.28,21.26,21.27,21.27,650
2025-07-28T07:52:00-04:00,21.27,21.27,21.27,21.27,21.27,186
2025-07-28T07:53:00-04:00,21.27,21.27,21.27,21.27,21.27,572
2025-07-28T07:54:00-04:00,21.28,21.28,21.28,21.28,21.28,138
2025-07-28T07:55:00-04:00,21.26,21.26,21.26,21.26,21.26,212
2025-07-28T07:58:00-04:00,21.279,21.3,21.279,21.3,21.3,1639
2025-07-28T08:00:00-04:00,21.31,21.5,21.24,21.46,21.46,282013
2025-07-28T08:01:00-04:00,21.45,21.48,21.27,21.27,21.27,27186
2025-07-28T08:02:00-04:00,21.2799,21.28,21.2799,21.2799,21.2799,4189
2025-07-28T08:03:00-04:00,21.28,21.28,21.2701,21.2701,21.2701,4677
2025-07-28T08:04:00-04:00,21.2701,21.3,21.27,21.279,21.279,2251
2025-07-28T08:05:00-04:00,21.28,21.28,21.27,21.28,21.28,11596
2025-07-28T08:06:00-04:00,21.28,21.29,21.27,21.29,21.29,6199
2025-07-28T08:07:00-04:00,21.2705,21.2974,21.2705,21.28,21.28,3221
2025-07-28T08:08:00-04:00,21.3,21.3,21.28,21.28,21.28,2433
2025-07-28T08:09:00-04:00,21.2982,21.3,21.282,21.3,21.3,2248
2025-07-28T08:10:00-04:00,21.3,21.3,21.3,21.3,21.3,382
