sym,day,entry_i,side,sgrade,book_r,clock_flat_1r,clock_flat_2r,clock_hod_only,clock_30_30_30_10,clock_50_20_20_10,clock_flat_3r,clock_flat_4r,clock_flat_5r,noclock_flat_1r,noclock_flat_2r,noclock_hod_only,noclock_30_30_30_10,noclock_50_20_20_10,noclock_flat_3r,noclock_flat_4r,noclock_flat_5r
NVDA,2024-08-23,29,L,C,2.115,1.000,2.000,4.538,2.708,3.231,3.000,4.000,5.000,1.000,2.000,4.538,2.708,3.231,3.000,4.000,5.000
NVDA,2024-08-23,36,L,C,4.344,1.000,2.000,4.437,3.191,3.547,3.000,4.000,5.000,1.000,2.000,4.437,3.191,3.547,3.000,4.000,5.000
NVDA,2024-08-29,48,S,A,-1.000,1.000,2.000,-1.236,-1.246,-1.243,3.000,-1.236,-1.236,1.000,2.000,-1.236,-1.246,-1.243,3.000,-1.236,-1.236
NVDA,2024-09-03,16,S,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2024-09-18,18,S,C,-1.000,-1.017,-1.017,-1.017,-1.180,-1.133,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.180,-1.133,-1.017,-1.017,-1.017
NVDA,2024-09-25,13,L,C,2.531,1.000,2.000,1.734,1.200,1.353,3.000,4.000,5.000,1.000,2.000,1.734,1.200,1.353,3.000,4.000,5.000
NVDA,2024-09-26,15,L,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2024-10-10,12,L,A,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2024-11-06,39,L,A,5.391,1.000,2.000,1.557,1.557,1.557,3.000,1.557,1.557,1.000,2.000,5.852,5.774,5.796,3.000,4.000,5.000
NVDA,2024-11-14,22,S,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2024-11-26,22,S,C,0.797,1.000,2.000,2.054,1.381,1.573,3.000,3.027,3.027,1.000,2.000,2.054,1.381,1.573,3.000,4.000,1.703
NVDA,2024-12-16,12,S,A,-1.000,1.000,2.000,-1.047,-1.189,-1.148,-1.047,-1.047,-1.047,1.000,2.000,-1.047,-1.189,-1.148,-1.047,-1.047,-1.047
NVDA,2025-01-06,21,L,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2025-01-10,16,S,C,0.320,1.000,-1.250,0.580,0.397,0.449,-1.250,-1.250,-1.250,1.000,-1.250,0.580,0.397,0.449,-1.250,-1.250,-1.250
NVDA,2025-01-23,17,L,C,0.860,1.000,2.000,0.960,1.422,1.290,3.000,4.000,3.600,1.000,2.000,0.960,1.422,1.290,3.000,4.000,5.000
NVDA,2025-01-31,54,L,C,3.893,1.000,2.000,3.999,3.468,3.620,3.000,4.000,5.000,1.000,2.000,3.999,3.468,3.620,3.000,4.000,5.000
