sym,day,entry_i,side,sgrade,book_r,clock_st_100_trail,clock_st_30_70,clock_st_30_70_be,clock_st_50_50,clock_st_50_50_be,clock_st_70_30,clock_st_70_30_be,clock_st_50_25x4r_25,clock_st_50_25x4r_25_be,clock_st_50_20x4r_20x5r,clock_st_50_20x4r_20x5r_be,clock_st_30_30x4r_30x5r,clock_st_30_30x4r_30x5r_be,clock_st_100_trail_be,clock_oracle_stopped,clock_oracle_best_close,clock_oracle_MFE,noclock_st_100_trail,noclock_st_30_70,noclock_st_30_70_be,noclock_st_50_50,noclock_st_50_50_be,noclock_st_70_30,noclock_st_70_30_be,noclock_st_50_25x4r_25,noclock_st_50_25x4r_25_be,noclock_st_50_20x4r_20x5r,noclock_st_50_20x4r_20x5r_be,noclock_st_30_30x4r_30x5r,noclock_st_30_30x4r_30x5r_be,noclock_st_100_trail_be,noclock_oracle_stopped,noclock_oracle_best_close,noclock_oracle_MFE
NVDA,2024-08-23,29,L,C,2.115,4.500,4.512,4.512,4.519,4.519,4.527,4.527,4.394,4.394,4.519,4.519,4.512,4.512,4.500,8.712,8.712,9.154,4.500,4.512,4.512,4.519,4.519,4.527,4.527,4.394,4.394,4.519,4.519,4.512,4.512,4.500,8.712,8.712,9.154
NVDA,2024-08-23,36,L,C,4.344,2.656,3.191,3.191,3.547,3.547,3.903,3.903,3.547,3.547,3.547,3.547,3.191,3.191,2.656,6.078,6.078,6.437,2.656,3.191,3.191,3.547,3.547,3.903,3.903,3.547,3.547,3.547,3.547,3.191,3.191,2.656,6.078,6.078,6.437
NVDA,2024-08-29,48,S,A,-1.000,1.655,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,1.655,2.836,2.836,3.200,1.655,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,-1.236,1.655,2.836,7.791,8.073
NVDA,2024-09-03,16,S,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,16.995,18.125,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,27.575,28.650
NVDA,2024-09-18,18,S,C,-1.000,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-0.867,-0.867,1.133,1.267,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-1.017,-0.867,-0.867,6.100,6.200
NVDA,2024-09-25,13,L,C,2.531,5.547,4.403,4.403,3.641,3.641,2.878,2.878,3.254,3.254,3.222,3.222,3.775,3.775,5.547,6.497,6.497,6.719,5.547,4.403,4.403,3.641,3.641,2.878,2.878,3.254,3.254,3.222,3.222,3.775,3.775,5.547,6.497,6.497,6.719
NVDA,2024-09-26,15,L,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.358,-0.358,-0.033,0.150,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.358,-0.358,-0.033,0.150
NVDA,2024-10-10,12,L,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.167,1.400,6.410,6.633,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.167,1.400,7.350,7.400
NVDA,2024-11-06,39,L,A,5.391,2.019,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,2.019,3.444,3.444,3.519,2.019,5.593,5.593,5.667,5.667,5.741,5.741,5.296,5.296,5.274,5.274,5.004,5.004,2.019,11.463,11.463,11.593
NVDA,2024-11-14,22,S,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.171,-0.171,-0.171,0.514,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.171,-0.171,0.914,1.057
NVDA,2024-11-26,22,S,C,0.797,0.084,0.675,0.675,1.069,1.069,1.463,1.463,1.069,1.069,1.069,1.069,0.675,0.675,0.084,3.446,3.446,3.514,0.084,0.675,0.675,1.069,1.069,1.463,1.463,1.069,1.069,1.069,1.069,0.675,0.675,0.084,4.730,4.730,4.865
NVDA,2024-12-16,12,S,A,-1.000,-0.105,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-0.209,1.473,3.117,3.302,-0.105,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-1.047,-0.209,1.473,3.117,3.302
NVDA,2025-01-06,21,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.221,-0.059,6.529,6.588,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.221,-0.059,6.853,7.076
NVDA,2025-01-10,16,S,C,0.320,0.170,0.293,0.293,0.375,0.375,0.457,0.457,0.375,0.375,0.375,0.375,0.293,0.293,0.170,1.148,1.148,1.261,0.170,0.293,0.293,0.375,0.375,0.457,0.457,0.375,0.375,0.375,0.375,0.293,0.293,0.170,1.148,1.148,1.261
NVDA,2025-01-23,17,L,C,0.860,-0.443,-0.022,-0.022,0.258,0.258,0.539,0.539,0.258,0.258,0.258,0.258,-0.022,-0.022,-0.443,4.540,4.540,4.800,-0.443,-0.022,-0.022,0.258,0.258,0.539,0.539,0.258,0.258,0.258,0.258,-0.022,-0.022,-0.443,8.480,8.480,8.560
NVDA,2025-01-31,54,L,C,3.893,3.240,3.468,3.468,3.620,3.620,3.771,3.771,3.810,3.810,3.772,3.772,3.696,3.696,-0.008,5.160,5.160,5.200,3.240,3.468,3.468,3.620,3.620,3.771,3.771,3.810,3.810,3.772,3.772,3.696,3.696,-0.008,8.040,8.040,8.040
NVDA,2025-03-05,16,S,A,3.237,0.176,-0.218,-0.218,0.471,0.471,1.159,1.159,0.471,0.471,0.471,0.471,-0.218,-0.218,0.176,3.414,3.414,4.353,0.176,-0.218,-0.218,0.471,0.471,1.159,1.159,0.471,0.471,0.471,0.471,-0.218,-0.218,0.176,3.414,4.309,4.735
NVDA,2025-03-06,24,L,A,-1.000,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,1.333,8.444,8.611,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,-1.056,1.333,8.444,8.611
NVDA,2025-04-01,30,S,A,2.441,3.647,3.998,3.998,4.231,4.231,4.465,4.465,4.319,4.319,4.572,4.572,4.509,4.509,3.647,5.954,5.954,6.824,3.647,3.998,3.998,4.231,4.231,4.465,4.465,4.319,4.319,4.572,4.572,4.509,4.509,3.647,5.954,5.954,6.824
NVDA,2025-04-03,24,L,A,1.770,-0.389,0.703,0.703,1.431,1.431,2.158,2.158,2.528,2.528,2.308,2.308,2.019,2.019,-0.389,3.472,4.333,5.000,-0.389,0.703,0.703,1.431,1.431,2.158,2.158,2.528,2.528,2.308,2.308,2.019,2.019,-0.389,3.472,4.333,5.000
