policy,dim,slice,n,mean_r,median_r,win_rate,worst,max_consec_losers,sd,ci_lo,ci_hi,trading_days,trades_per_year,ann_dollars,thin,retired
flat_1r,ALL,all trades,905,-0.010470,1.000000,0.543646,-1.250000,10,1.104085,-0.082404,0.061464,229,995.895,-10426.62,0,0
flat_1r,symbol,AAPL,19,0.400490,1.000000,0.736842,-1.250000,2,0.966403,-0.034058,0.835037,18,266.000,106530.22,1,0
flat_1r,symbol,AMD,64,0.023077,1.000000,0.562500,-1.250000,5,1.108471,-0.248498,0.294653,50,322.560,7443.85,0,0
flat_1r,symbol,AMZN,20,0.550000,1.000000,0.800000,-1.250000,2,0.900000,0.155558,0.944442,20,252.000,138600.00,0,0
flat_1r,symbol,AVGO,46,0.226936,1.000000,0.652174,-1.250000,3,1.059120,-0.079135,0.533007,43,269.581,61177.66,0,0
flat_1r,symbol,BABA,9,-0.500000,-1.250000,0.333333,-1.250000,4,1.060660,-1.192965,0.192965,9,252.000,-126000.00,1,0
flat_1r,symbol,COIN,76,-0.053235,1.000000,0.526316,-1.250000,8,1.111086,-0.303038,0.196567,67,285.851,-15217.35,0,0
flat_1r,symbol,CRM,37,-0.070292,1.000000,0.513514,-1.250000,4,1.101061,-0.425078,0.284494,33,282.545,-19860.75,0,0
flat_1r,symbol,GOOGL,20,-0.223462,-1.145868,0.450000,-1.250000,3,1.107066,-0.708656,0.261731,20,252.000,-56312.54,0,0
flat_1r,symbol,HOOD,49,-0.089703,1.000000,0.510204,-1.250000,5,1.112951,-0.401329,0.221924,46,268.435,-24079.30,0,0
flat_1r,symbol,INTC,28,0.116071,1.000000,0.607143,-1.250000,3,1.098867,-0.290955,0.523098,28,252.000,29250.00,0,0
flat_1r,symbol,IREN,66,-0.084995,1.000000,0.515152,-1.250000,5,1.118775,-0.354909,0.184920,63,264.000,-22438.56,0,0
flat_1r,symbol,MARA,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol,META,38,0.131455,1.000000,0.605263,-1.250000,3,1.076682,-0.210880,0.473790,35,273.600,35966.11,0,0
flat_1r,symbol,MSFT,30,-0.115781,-0.016129,0.500000,-1.250000,4,1.116465,-0.515303,0.283741,27,280.000,-32418.72,0,0
flat_1r,symbol,MU,72,-0.018540,1.000000,0.541667,-1.250000,5,1.108279,-0.274539,0.237460,64,283.500,-5256.02,0,0
flat_1r,symbol,NFLX,19,-0.125046,-1.026316,0.473684,-1.250000,4,1.069542,-0.605971,0.355878,19,252.000,-31511.61,1,0
flat_1r,symbol,NVDA,39,-0.019859,1.000000,0.538462,-1.250000,4,1.102598,-0.365911,0.326192,34,289.059,-5740.55,0,0
flat_1r,symbol,ORCL,59,-0.238365,-1.094349,0.440678,-1.250000,9,1.100545,-0.519191,0.042462,46,323.217,-77043.61,0,0
flat_1r,symbol,PLTR,61,0.056840,1.000000,0.573770,-1.250000,3,1.095120,-0.217983,0.331663,57,269.684,15328.93,0,0
flat_1r,symbol,QQQ,9,0.281999,1.000000,0.666667,-1.250000,1,1.016311,-0.381991,0.945989,9,252.000,71063.80,1,0
flat_1r,symbol,SOFI,4,-0.071589,-0.034483,0.500000,-1.217391,2,1.072873,-1.123005,0.979827,4,252.000,-18040.48,1,0
flat_1r,symbol,TSLA,71,-0.064923,1.000000,0.521127,-1.250000,6,1.111472,-0.323461,0.193616,61,293.311,-19042.59,0,0
flat_1r,symbol,TSM,42,-0.214386,-1.019771,0.428571,-1.250000,7,1.072496,-0.538746,0.109974,39,271.385,-58181.15,0,0
flat_1r,symbol,UBER,26,0.328557,1.000000,0.692308,-1.250000,3,1.008411,-0.059064,0.716178,26,252.000,82796.39,0,0
flat_1r,pool,equity,540,0.001292,1.000000,0.550000,-1.250000,10,1.103877,-0.091814,0.094399,212,641.887,829.50,0,0
flat_1r,pool,index,9,0.281999,1.000000,0.666667,-1.250000,1,1.016311,-0.381991,0.945989,9,252.000,71063.80,1,0
flat_1r,pool,other,356,-0.035705,1.000000,0.530899,-1.250000,6,1.105167,-0.150509,0.079100,184,487.565,-17408.29,0,0
flat_1r,month,2025-08,22,0.088807,1.000000,0.590909,-1.250000,5,1.095711,-0.369061,0.546676,4,1386.000,123086.90,0,0
flat_1r,month,2025-09,50,-0.049628,1.000000,0.520000,-1.250000,5,1.094215,-0.352929,0.253673,17,741.176,-36783.27,0,0
flat_1r,month,2025-10,64,-0.008247,1.000000,0.546875,-1.250000,4,1.108352,-0.279793,0.263299,22,733.091,-6045.98,0,0
flat_1r,month,2025-11,78,0.024594,1.000000,0.564103,-1.250000,4,1.110101,-0.221767,0.270954,18,1092.000,26856.34,0,0
flat_1r,month,2025-12,66,0.151880,1.000000,0.621212,-1.250000,4,1.086325,-0.110206,0.413966,20,831.600,126303.47,0,0
flat_1r,month,2026-01,63,-0.011544,1.000000,0.539683,-1.250000,4,1.096790,-0.282381,0.259294,19,835.579,-9645.64,0,0
flat_1r,month,2026-02,85,-0.013612,1.000000,0.541176,-1.250000,6,1.102143,-0.247918,0.220695,19,1127.368,-15345.57,0,0
flat_1r,month,2026-03,89,-0.143643,-1.012876,0.483146,-1.250000,8,1.106790,-0.373590,0.086303,21,1068.000,-153411.20,0,0
flat_1r,month,2026-04,69,0.035601,1.000000,0.565217,-1.250000,5,1.100542,-0.224079,0.295281,20,869.400,30951.52,0,0
flat_1r,month,2026-05,92,-0.079525,1.000000,0.510870,-1.250000,8,1.108921,-0.306127,0.147076,19,1220.211,-97037.73,0,0
flat_1r,month,2026-06,93,-0.027133,1.000000,0.537634,-1.250000,5,1.108253,-0.252377,0.198111,21,1116.000,-30280.46,0,0
flat_1r,month,2026-07,100,-0.096329,0.364067,0.500000,-1.250000,5,1.101504,-0.312224,0.119565,21,1200.000,-115595.26,0,0
flat_1r,month,2026-08,34,0.333023,1.000000,0.705882,-1.250000,4,1.013161,-0.007538,0.673585,8,1071.000,356667.98,0,0
flat_1r,quarter,2025-Q3,72,-0.007328,1.000000,0.541667,-1.250000,5,1.096528,-0.260614,0.245957,21,864.000,-6331.81,0,0
flat_1r,quarter,2025-Q4,208,0.054878,1.000000,0.576923,-1.250000,4,1.104136,-0.095176,0.204932,60,873.600,47941.20,0,0
flat_1r,quarter,2026-Q1,237,-0.061893,1.000000,0.518987,-1.250000,8,1.104294,-0.202486,0.078701,59,1012.271,-62652.00,0,0
flat_1r,quarter,2026-Q2,254,-0.029068,1.000000,0.535433,-1.250000,10,1.107337,-0.165250,0.107114,60,1066.800,-31009.60,0,0
flat_1r,quarter,2026-Q3,134,0.012611,1.000000,0.552239,-1.250000,5,1.095817,-0.172931,0.198153,29,1164.414,14684.26,0,0
flat_1r,setup,break_and_retest,801,-0.008434,1.000000,0.544320,-1.250000,12,1.103419,-0.084849,0.067981,220,917.509,-7738.23,0,0
flat_1r,setup,one_candle_rule,102,-0.024210,1.000000,0.539216,-1.250000,4,1.108673,-0.239369,0.190949,77,333.818,-8081.63,0,0
flat_1r,setup,reentry_84_rule,2,-0.125000,-0.125000,0.500000,-1.250000,1,1.125000,-1.684170,1.434170,2,252.000,-31500.00,1,0
flat_1r,grade,A,7,-0.285714,-1.250000,0.428571,-1.250000,3,1.113461,-1.110578,0.539149,5,352.800,-100800.00,1,0
flat_1r,grade,A+,3,-1.250000,-1.250000,0.000000,-1.250000,3,0.000000,-1.250000,-1.250000,2,378.000,-472500.00,1,0
flat_1r,grade,B,622,0.116400,1.000000,0.601286,-1.250000,7,1.085606,0.031084,0.201717,216,725.667,84467.67,0,0
flat_1r,grade,C,273,-0.278849,-1.116279,0.421245,-1.250000,10,1.093859,-0.408608,-0.149091,157,438.191,-122189.26,0,0
flat_1r,alert_only,actioned,632,0.105460,1.000000,0.596519,-1.250000,9,1.088190,0.020620,0.190301,216,737.333,77759.34,0,0
flat_1r,alert_only,alert_only,273,-0.278849,-1.116279,0.421245,-1.250000,10,1.093859,-0.408608,-0.149091,157,438.191,-122189.26,0,0
flat_1r,trend_qqq,aligned,487,0.065128,1.000000,0.577002,-1.250000,12,1.093668,-0.032008,0.162263,188,652.787,42514.55,0,0
flat_1r,trend_qqq,flat,99,0.021332,1.000000,0.555556,-1.250000,7,1.099552,-0.195266,0.237930,50,498.960,10643.84,0,0
flat_1r,trend_qqq,opposed,316,-0.146532,-1.038728,0.484177,-1.250000,9,1.109800,-0.268897,-0.024167,150,530.880,-77790.83,0,0
flat_1r,trend_qqq,unknown,3,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,756.000,756000.00,1,0
flat_1r,session_third,09:30-10:00,905,-0.010470,1.000000,0.543646,-1.250000,10,1.104085,-0.082404,0.061464,229,995.895,-10426.62,0,0
flat_1r,side,long,436,0.010793,1.000000,0.552752,-1.250000,11,1.102447,-0.092690,0.114276,182,603.692,6515.73,0,0
flat_1r,side,short,469,-0.030236,1.000000,0.535181,-1.250000,13,1.105238,-0.130265,0.069793,175,675.360,-20420.34,0,0
flat_1r,symbol|pool,AAPL|equity,19,0.400490,1.000000,0.736842,-1.250000,2,0.966403,-0.034058,0.835037,18,266.000,106530.22,1,0
flat_1r,symbol|pool,AMD|equity,64,0.023077,1.000000,0.562500,-1.250000,5,1.108471,-0.248498,0.294653,50,322.560,7443.85,0,0
flat_1r,symbol|pool,AMZN|equity,20,0.550000,1.000000,0.800000,-1.250000,2,0.900000,0.155558,0.944442,20,252.000,138600.00,0,0
flat_1r,symbol|pool,AVGO|other,46,0.226936,1.000000,0.652174,-1.250000,3,1.059120,-0.079135,0.533007,43,269.581,61177.66,0,0
flat_1r,symbol|pool,BABA|other,9,-0.500000,-1.250000,0.333333,-1.250000,4,1.060660,-1.192965,0.192965,9,252.000,-126000.00,1,0
flat_1r,symbol|pool,COIN|other,76,-0.053235,1.000000,0.526316,-1.250000,8,1.111086,-0.303038,0.196567,67,285.851,-15217.35,0,0
flat_1r,symbol|pool,CRM|other,37,-0.070292,1.000000,0.513514,-1.250000,4,1.101061,-0.425078,0.284494,33,282.545,-19860.75,0,0
flat_1r,symbol|pool,GOOGL|equity,20,-0.223462,-1.145868,0.450000,-1.250000,3,1.107066,-0.708656,0.261731,20,252.000,-56312.54,0,0
flat_1r,symbol|pool,HOOD|other,49,-0.089703,1.000000,0.510204,-1.250000,5,1.112951,-0.401329,0.221924,46,268.435,-24079.30,0,0
flat_1r,symbol|pool,INTC|equity,28,0.116071,1.000000,0.607143,-1.250000,3,1.098867,-0.290955,0.523098,28,252.000,29250.00,0,0
flat_1r,symbol|pool,IREN|other,66,-0.084995,1.000000,0.515152,-1.250000,5,1.118775,-0.354909,0.184920,63,264.000,-22438.56,0,0
flat_1r,symbol|pool,MARA|other,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|pool,META|equity,38,0.131455,1.000000,0.605263,-1.250000,3,1.076682,-0.210880,0.473790,35,273.600,35966.11,0,0
flat_1r,symbol|pool,MSFT|equity,30,-0.115781,-0.016129,0.500000,-1.250000,4,1.116465,-0.515303,0.283741,27,280.000,-32418.72,0,0
flat_1r,symbol|pool,MU|equity,72,-0.018540,1.000000,0.541667,-1.250000,5,1.108279,-0.274539,0.237460,64,283.500,-5256.02,0,0
flat_1r,symbol|pool,NFLX|equity,19,-0.125046,-1.026316,0.473684,-1.250000,4,1.069542,-0.605971,0.355878,19,252.000,-31511.61,1,0
flat_1r,symbol|pool,NVDA|equity,39,-0.019859,1.000000,0.538462,-1.250000,4,1.102598,-0.365911,0.326192,34,289.059,-5740.55,0,0
flat_1r,symbol|pool,ORCL|equity,59,-0.238365,-1.094349,0.440678,-1.250000,9,1.100545,-0.519191,0.042462,46,323.217,-77043.61,0,0
flat_1r,symbol|pool,PLTR|equity,61,0.056840,1.000000,0.573770,-1.250000,3,1.095120,-0.217983,0.331663,57,269.684,15328.93,0,0
flat_1r,symbol|pool,QQQ|index,9,0.281999,1.000000,0.666667,-1.250000,1,1.016311,-0.381991,0.945989,9,252.000,71063.80,1,0
flat_1r,symbol|pool,SOFI|other,4,-0.071589,-0.034483,0.500000,-1.217391,2,1.072873,-1.123005,0.979827,4,252.000,-18040.48,1,0
flat_1r,symbol|pool,TSLA|equity,71,-0.064923,1.000000,0.521127,-1.250000,6,1.111472,-0.323461,0.193616,61,293.311,-19042.59,0,0
flat_1r,symbol|pool,TSM|other,42,-0.214386,-1.019771,0.428571,-1.250000,7,1.072496,-0.538746,0.109974,39,271.385,-58181.15,0,0
flat_1r,symbol|pool,UBER|other,26,0.328557,1.000000,0.692308,-1.250000,3,1.008411,-0.059064,0.716178,26,252.000,82796.39,0,0
flat_1r,symbol|month,AAPL|2025-08,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AAPL|2025-09,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AAPL|2026-01,3,-0.500000,-1.250000,0.333333,-1.250000,2,1.060660,-1.700250,0.700250,3,252.000,-126000.00,1,0
flat_1r,symbol|month,AAPL|2026-02,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AAPL|2026-03,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
